timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], temperature.gpu
2025/12/26 09:46:55.968, 0, 0 %, 0 %, 447 MiB, 14.79 W, 30
2025/12/26 09:46:55.969, 1, 0 %, 0 %, 4 MiB, 13.01 W, 27
2025/12/26 09:46:56.970, 0, 0 %, 0 %, 459 MiB, 25.31 W, 32
2025/12/26 09:46:56.970, 1, 0 %, 0 %, 4 MiB, 21.38 W, 28
2025/12/26 09:46:57.971, 0, 19 %, 1 %, 1452 MiB, 57.44 W, 32
2025/12/26 09:46:57.972, 1, 25 %, 1 %, 1329 MiB, 55.79 W, 29
2025/12/26 09:46:58.972, 0, 7 %, 3 %, 2014 MiB, 62.21 W, 33
2025/12/26 09:46:58.973, 1, 10 %, 5 %, 1931 MiB, 61.40 W, 29
2025/12/26 09:46:59.973, 0, 8 %, 3 %, 2014 MiB, 82.60 W, 33
2025/12/26 09:46:59.974, 1, 11 %, 7 %, 1931 MiB, 96.03 W, 30
2025/12/26 09:47:00.974, 0, 11 %, 6 %, 2014 MiB, 82.69 W, 35
2025/12/26 09:47:00.975, 1, 14 %, 9 %, 1931 MiB, 102.01 W, 32
2025/12/26 09:47:01.976, 0, 11 %, 5 %, 2014 MiB, 85.04 W, 34
2025/12/26 09:47:01.976, 1, 12 %, 7 %, 1931 MiB, 116.97 W, 32
2025/12/26 09:47:02.977, 0, 11 %, 5 %, 2014 MiB, 70.93 W, 34
2025/12/26 09:47:02.977, 1, 6 %, 4 %, 1931 MiB, 94.56 W, 32
2025/12/26 09:47:03.978, 0, 9 %, 4 %, 2014 MiB, 69.23 W, 34
2025/12/26 09:47:03.978, 1, 8 %, 4 %, 1931 MiB, 72.03 W, 31
2025/12/26 09:47:04.979, 0, 16 %, 10 %, 2014 MiB, 82.24 W, 34
2025/12/26 09:47:04.980, 1, 7 %, 3 %, 1931 MiB, 87.90 W, 31
2025/12/26 09:47:05.980, 0, 7 %, 3 %, 2014 MiB, 85.79 W, 35
2025/12/26 09:47:05.981, 1, 11 %, 6 %, 1931 MiB, 100.04 W, 33
2025/12/26 09:47:06.981, 0, 10 %, 4 %, 2014 MiB, 77.22 W, 35
2025/12/26 09:47:06.982, 1, 10 %, 6 %, 1931 MiB, 95.61 W, 32
2025/12/26 09:47:07.983, 0, 8 %, 4 %, 2014 MiB, 69.21 W, 35
2025/12/26 09:47:07.983, 1, 7 %, 3 %, 1931 MiB, 72.39 W, 32
2025/12/26 09:47:08.984, 0, 9 %, 4 %, 2016 MiB, 78.75 W, 35
2025/12/26 09:47:08.985, 1, 10 %, 4 %, 1933 MiB, 82.16 W, 32
2025/12/26 09:47:09.986, 0, 6 %, 3 %, 2016 MiB, 76.57 W, 35
2025/12/26 09:47:09.986, 1, 11 %, 6 %, 1933 MiB, 79.93 W, 33
2025/12/26 09:47:10.987, 0, 18 %, 9 %, 2016 MiB, 77.05 W, 36
2025/12/26 09:47:10.988, 1, 32 %, 22 %, 1933 MiB, 78.99 W, 33
2025/12/26 09:47:11.988, 0, 9 %, 4 %, 2016 MiB, 83.97 W, 37
2025/12/26 09:47:11.989, 1, 25 %, 17 %, 1933 MiB, 89.62 W, 34
2025/12/26 09:47:12.989, 0, 6 %, 3 %, 2016 MiB, 84.89 W, 36
2025/12/26 09:47:12.990, 1, 13 %, 7 %, 1933 MiB, 92.27 W, 33
2025/12/26 09:47:13.990, 0, 6 %, 3 %, 2016 MiB, 75.14 W, 36
2025/12/26 09:47:13.991, 1, 13 %, 7 %, 1933 MiB, 78.04 W, 33
2025/12/26 09:47:14.992, 0, 8 %, 3 %, 2016 MiB, 83.41 W, 37
2025/12/26 09:47:14.992, 1, 25 %, 17 %, 1933 MiB, 90.67 W, 34
2025/12/26 09:47:15.993, 0, 21 %, 14 %, 2016 MiB, 90.40 W, 37
2025/12/26 09:47:15.994, 1, 13 %, 9 %, 1933 MiB, 110.37 W, 34
2025/12/26 09:47:16.994, 0, 10 %, 4 %, 2016 MiB, 71.34 W, 37
2025/12/26 09:47:16.995, 1, 11 %, 6 %, 1933 MiB, 76.54 W, 34
2025/12/26 09:47:17.995, 0, 10 %, 4 %, 2016 MiB, 71.26 W, 37
2025/12/26 09:47:17.996, 1, 5 %, 2 %, 1933 MiB, 77.31 W, 34
2025/12/26 09:47:18.996, 0, 20 %, 12 %, 2016 MiB, 96.46 W, 37
2025/12/26 09:47:18.997, 1, 6 %, 4 %, 1933 MiB, 131.26 W, 35
2025/12/26 09:47:19.998, 0, 24 %, 15 %, 2016 MiB, 78.53 W, 37
2025/12/26 09:47:19.998, 1, 43 %, 33 %, 1933 MiB, 110.53 W, 36
2025/12/26 09:47:20.999, 0, 9 %, 4 %, 2016 MiB, 74.18 W, 37
2025/12/26 09:47:21.000, 1, 9 %, 5 %, 1933 MiB, 94.31 W, 35
2025/12/26 09:47:22.000, 0, 10 %, 4 %, 2016 MiB, 87.26 W, 37
2025/12/26 09:47:22.001, 1, 5 %, 3 %, 1933 MiB, 122.56 W, 36
2025/12/26 09:47:23.002, 0, 8 %, 3 %, 2016 MiB, 69.94 W, 37
2025/12/26 09:47:23.002, 1, 9 %, 5 %, 1933 MiB, 96.36 W, 36
2025/12/26 09:47:24.003, 0, 10 %, 4 %, 2016 MiB, 79.06 W, 38
2025/12/26 09:47:24.004, 1, 8 %, 5 %, 1933 MiB, 89.97 W, 35
2025/12/26 09:47:25.004, 0, 20 %, 12 %, 2016 MiB, 76.94 W, 39
2025/12/26 09:47:25.005, 1, 36 %, 25 %, 1933 MiB, 82.26 W, 36
2025/12/26 09:47:26.005, 0, 8 %, 3 %, 2016 MiB, 79.46 W, 38
2025/12/26 09:47:26.006, 1, 10 %, 5 %, 1933 MiB, 81.04 W, 35
2025/12/26 09:47:27.006, 0, 32 %, 20 %, 2016 MiB, 88.00 W, 39
2025/12/26 09:47:27.007, 1, 24 %, 18 %, 1933 MiB, 104.50 W, 36
2025/12/26 09:47:28.008, 0, 9 %, 5 %, 2016 MiB, 78.24 W, 39
