MiB Mem : 128530.7 total,   3835.7 free,  14415.9 used, 110279.1 buff/cache
MiB Mem : 128530.7 total,   3835.7 free,  14415.9 used, 110279.1 buff/cache
MiB Mem : 128530.7 total,   3835.7 free,  14415.9 used, 110279.1 buff/cache
MiB Mem : 128530.7 total,   3177.4 free,  14996.2 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3177.4 free,  14996.2 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3177.4 free,  14996.2 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3170.0 free,  15003.5 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3170.0 free,  15003.5 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3170.0 free,  15003.5 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3118.8 free,  15054.8 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3118.8 free,  15054.8 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3118.8 free,  15054.8 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3100.0 free,  15073.5 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3100.0 free,  15073.5 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3100.0 free,  15073.5 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3092.5 free,  15081.0 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3092.5 free,  15081.0 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3092.5 free,  15081.0 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3096.0 free,  15077.5 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3096.0 free,  15077.5 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3096.0 free,  15077.5 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3078.9 free,  15094.6 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3078.9 free,  15094.6 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3078.9 free,  15094.6 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3070.0 free,  15103.5 used, 110357.3 buff/cache
MiB Mem : 128530.7 total,   3070.0 free,  15103.5 used, 110357.3 buff/cache
MiB Mem : 128530.7 total,   3070.0 free,  15103.5 used, 110357.3 buff/cache
MiB Mem : 128530.7 total,   3084.1 free,  15089.3 used, 110357.3 buff/cache
MiB Mem : 128530.7 total,   3084.1 free,  15089.3 used, 110357.3 buff/cache
MiB Mem : 128530.7 total,   3084.1 free,  15089.3 used, 110357.3 buff/cache
MiB Mem : 128530.7 total,   3067.7 free,  15105.7 used, 110357.3 buff/cache
MiB Mem : 128530.7 total,   3067.7 free,  15105.7 used, 110357.3 buff/cache
MiB Mem : 128530.7 total,   3067.7 free,  15105.7 used, 110357.3 buff/cache
MiB Mem : 128530.7 total,   3061.3 free,  15112.1 used, 110357.3 buff/cache
MiB Mem : 128530.7 total,   3061.3 free,  15112.1 used, 110357.3 buff/cache
MiB Mem : 128530.7 total,   3061.3 free,  15112.1 used, 110357.3 buff/cache
MiB Mem : 128530.7 total,   3075.0 free,  15098.4 used, 110357.3 buff/cache
MiB Mem : 128530.7 total,   3075.0 free,  15098.4 used, 110357.3 buff/cache
MiB Mem : 128530.7 total,   3075.0 free,  15098.4 used, 110357.3 buff/cache
MiB Mem : 128530.7 total,   3057.2 free,  15116.2 used, 110357.3 buff/cache
MiB Mem : 128530.7 total,   3057.2 free,  15116.2 used, 110357.3 buff/cache
MiB Mem : 128530.7 total,   3057.2 free,  15116.2 used, 110357.3 buff/cache
MiB Mem : 128530.7 total,   3057.7 free,  15115.7 used, 110357.4 buff/cache
MiB Mem : 128530.7 total,   3057.7 free,  15115.7 used, 110357.4 buff/cache
MiB Mem : 128530.7 total,   3057.7 free,  15115.7 used, 110357.4 buff/cache
MiB Mem : 128530.7 total,   3064.5 free,  15108.9 used, 110357.4 buff/cache
MiB Mem : 128530.7 total,   3064.5 free,  15108.9 used, 110357.4 buff/cache
MiB Mem : 128530.7 total,   3069.7 free,  15103.6 used, 110357.4 buff/cache
MiB Mem : 128530.7 total,   3069.7 free,  15103.6 used, 110357.4 buff/cache
MiB Mem : 128530.7 total,   3069.7 free,  15103.6 used, 110357.4 buff/cache
MiB Mem : 128530.7 total,   3055.9 free,  15117.4 used, 110357.4 buff/cache
MiB Mem : 128530.7 total,   3055.9 free,  15117.4 used, 110357.4 buff/cache
MiB Mem : 128530.7 total,   3055.9 free,  15117.4 used, 110357.4 buff/cache
MiB Mem : 128530.7 total,   3052.1 free,  15121.2 used, 110357.4 buff/cache
MiB Mem : 128530.7 total,   3052.1 free,  15121.2 used, 110357.4 buff/cache
MiB Mem : 128530.7 total,   3052.1 free,  15121.2 used, 110357.4 buff/cache
MiB Mem : 128530.7 total,   3048.5 free,  15124.9 used, 110357.4 buff/cache
MiB Mem : 128530.7 total,   3048.5 free,  15124.9 used, 110357.4 buff/cache
MiB Mem : 128530.7 total,   3048.5 free,  15124.9 used, 110357.4 buff/cache
MiB Mem : 128530.7 total,   3055.8 free,  15117.5 used, 110357.5 buff/cache
MiB Mem : 128530.7 total,   3055.8 free,  15117.5 used, 110357.5 buff/cache
