timestamp; index; utilization.gpu [%]; utilization.memory [%]; memory.used [MiB]; power.draw [W]; temperature.gpu
2025/12/25 13:37:34.316;0;0%;0%; 447 MiB; 14.74 W;30
2025/12/25 13:37:34.317;1;0%;0%; 4 MiB; 13.23 W;26
2025/12/25 13:37:35.317;0;0%;0%; 605 MiB; 39.79 W;31
2025/12/25 13:37:35.318;1;4%;0%; 4 MiB; 37.54 W;28
2025/12/25 13:37:36.318;0;11%;0%; 1966 MiB; 57.48 W;32
2025/12/25 13:37:36.319;1;26%;1%; 1883 MiB; 56.27 W;28
2025/12/25 13:37:37.320;0;36%;24%; 2010 MiB; 91.80 W;34
2025/12/25 13:37:37.320;1;44%;34%; 1927 MiB; 118.84 W;33
2025/12/25 13:37:38.321;0;37%;24%; 2010 MiB; 119.14 W;35
2025/12/25 13:37:38.321;1;43%;33%; 1927 MiB; 181.38 W;34
2025/12/25 13:37:39.322;0;37%;25%; 2010 MiB; 113.10 W;35
2025/12/25 13:37:39.322;1;43%;34%; 1927 MiB; 171.24 W;35
2025/12/25 13:37:40.323;0;37%;24%; 2010 MiB; 119.42 W;36
2025/12/25 13:37:40.324;1;44%;33%; 1927 MiB; 182.74 W;36
2025/12/25 13:37:41.324;0;34%;23%; 2010 MiB; 114.68 W;36
2025/12/25 13:37:41.325;1;44%;34%; 1927 MiB; 174.11 W;36
2025/12/25 13:37:42.326;0;37%;24%; 2010 MiB; 120.79 W;36
2025/12/25 13:37:42.331;1;44%;34%; 1927 MiB; 183.49 W;37
2025/12/25 13:37:43.332;0;36%;24%; 2012 MiB; 117.32 W;37
2025/12/25 13:37:43.333;1;44%;34%; 1929 MiB; 176.24 W;38
2025/12/25 13:37:44.334;0;32%;21%; 2014 MiB; 120.29 W;37
2025/12/25 13:37:44.334;1;43%;33%; 1931 MiB; 184.19 W;38
2025/12/25 13:37:45.335;0;36%;24%; 2014 MiB; 116.15 W;38
2025/12/25 13:37:45.335;1;44%;34%; 1931 MiB; 174.43 W;39
2025/12/25 13:37:46.336;0;37%;23%; 2014 MiB; 122.22 W;38
2025/12/25 13:37:46.336;1;43%;32%; 1931 MiB; 184.14 W;39
2025/12/25 13:37:47.337;0;26%;17%; 2014 MiB; 118.20 W;38
2025/12/25 13:37:47.337;1;25%;19%; 1931 MiB; 177.90 W;39
2025/12/25 13:37:48.338;0;38%;25%; 2014 MiB; 123.13 W;39
2025/12/25 13:37:48.339;1;45%;34%; 1931 MiB; 184.60 W;40
2025/12/25 13:37:49.339;0;39%;24%; 2014 MiB; 124.83 W;39
