us;sy;ni;id;wa;hi;si;st;
23,4;0,4;0;76,2;0;0;0;0;0,238
9,6;0,9;0;89,4;0;0;0;0;0,106
1,1;0,8;0;98;0,1;0;0;0;0,02
2,5;0,8;0;96,7;0;0;0;0;0,033
10,9;1;0;88,1;0;0;0;0;0,119
11;0,7;0;88,3;0;0;0;0;0,117
10,8;0,7;0;88,4;0,1;0;0;0;0,116
5,9;0,6;0;93,5;0;0;0;0;0,065
2,3;0,6;0;97;0,1;0;0;0;0,03
2,3;0,3;0;97,5;0;0;0;0;0,025
2,3;0,3;0;97,4;0;0;0;0;0,026
5,3;0,7;0;93,9;0,1;0;0;0;0,061
10,6;0,8;0;88,6;0;0;0;0;0,114
11;1;0;88;0;0;0;0;0,12
9,1;1,1;0;89,8;0,1;0;0;0;0,102
8,3;0,8;0;90,9;0;0;0;0;0,091
9,4;0,9;0;89,6;0;0;0;0;0,104
8,4;0,8;0;90,8;0;0;0;0;0,092
8,8;1,5;0;89,7;0;0;0;0;0,103
8,9;1;0;90;0;0;0;0;0,1
8,4;0,9;0;90,7;0;0;0;0;0,093
9,3;0,8;0;89,8;0,1;0;0;0;0,102
9,3;1,4;0;89,4;0;0;0;0;0,106
8,9;1;0;90,1;0;0;0;0;0,099
8,4;0,9;0;90,7;0;0;0;0;0,093
9,2;0,9;0;90;0;0;0;0;0,1
8,8;0,7;0;90,4;0,1;0;0;0;0,096
8,6;1,2;0;90,3;0;0;0;0;0,097
8,7;0,9;0;90,3;0,1;0;0;0;0,097
8,8;0,8;0;90,4;0;0;0;0;0,096
9,7;1;0;89,3;0;0;0;0;0,107
8,1;0,7;0;91;0,2;0;0;0;0,09
8,8;1;0;90,2;0;0;0;0;0,098
8,1;0,7;0;91;0,1;0;0;0;0,09
7,8;0,6;0;91,5;0;0;0;0;0,085
8,6;0,8;0;90,6;0;0;0;0;0,094
8,7;0,9;0;90,3;0;0;0;0;0,097
9,4;1,3;0;89,2;0;0;0;0;0,108
8,9;0,9;0;90,2;0;0;0;0;0,098
8,9;0,8;0;90,2;0;0;0;0;0,098
8,7;0,7;0;90,5;0;0;0;0;0,095
4,1;0,4;0;95,4;0,1;0;0;0;0,046
2,5;0,4;0;97,1;0;0;0;0;0,029
2,8;0,4;0;96,8;0;0;0;0;0,032
7,4;0,5;0;92,1;0;0;0;0;0,079
8,3;0,8;0;90,9;0;0;0;0;0,091
8,6;0,8;0;90,6;0,1;0;0;0;0,094
9,1;1,1;0;89,7;0;0;0;0;0,103
8,9;1;0;90,1;0;0;0;0;0,099
8,4;1;0;90,6;0;0;0;0;0,094
8,9;0,8;0;90,2;0,1;0;0;0;0,098
8,9;0,9;0;90,2;0;0;0;0;0,098
8,8;1,1;0;90,1;0;0;0;0;0,099
9,1;1;0;89,8;0;0;0;0;0,102
8,7;0,6;0;90,6;0;0;0;0;0,094
8,2;0,7;0;91;0,1;0;0;0;0,09
8,7;0,8;0;90,5;0;0;0;0;0,095
8,8;1,2;0;90;0;0;0;0;0,1
8,9;1,1;0;90,1;0;0;0;0;0,099
9;0,8;0;90,2;0;0;0;0;0,098
4;0,4;0;95,5;0;0;0;0;0,045
4,2;0,5;0;95,2;0,1;0;0;0;0,048
9;1,1;0;89,9;0;0;0;0;0,101
9,2;0,8;0;90,1;0;0;0;0;0,099
8,6;0,8;0;90,6;0;0;0;0;0,094
8,4;1;0;90,5;0,1;0;0;0;0,095
9,6;1;0;89,4;0;0;0;0;0,106
10,6;1,2;0;88,1;0,1;0;0;0;0,119
9,8;1,1;0;89,1;0;0;0;0;0,109
9,5;1,2;0;89,3;0;0;0;0;0,107
9,8;0,9;0;89,2;0,1;0;0;0;0,108
11,3;1;0;87,7;0;0;0;0;0,123
9,1;0,8;0;90,1;0;0;0;0;0,099
9,7;0,8;0;89,5;0,1;0;0;0;0,105
8,8;0,8;0;90,4;0;0;0;0;0,096
9,4;0,9;0;89,7;0;0;0;0;0,103
10,2;1,2;0;88,6;0;0;0;0;0,114
9,6;1;0;89,4;0;0;0;0;0,106
9,5;1,1;0;89,4;0;0;0;0;0,106
9,8;0,8;0;89,3;0;0;0;0;0,107
8,9;0,9;0;90,1;0,1;0;0;0;0,099
