MiB Mem : 128530.7 total,   3795.8 free,  14507.3 used, 110227.7 buff/cache
MiB Mem : 128530.7 total,   3795.8 free,  14507.3 used, 110227.7 buff/cache
MiB Mem : 128530.7 total,   3795.8 free,  14507.3 used, 110227.7 buff/cache
MiB Mem : 128530.7 total,   3073.2 free,  15151.3 used, 110306.2 buff/cache
MiB Mem : 128530.7 total,   3073.2 free,  15151.3 used, 110306.2 buff/cache
MiB Mem : 128530.7 total,   3073.2 free,  15151.3 used, 110306.2 buff/cache
MiB Mem : 128530.7 total,   2951.8 free,  15272.1 used, 110306.8 buff/cache
MiB Mem : 128530.7 total,   2951.8 free,  15272.1 used, 110306.8 buff/cache
MiB Mem : 128530.7 total,   2951.8 free,  15272.1 used, 110306.8 buff/cache
MiB Mem : 128530.7 total,   2906.7 free,  15317.2 used, 110306.8 buff/cache
MiB Mem : 128530.7 total,   2906.7 free,  15317.2 used, 110306.8 buff/cache
MiB Mem : 128530.7 total,   2906.7 free,  15317.2 used, 110306.8 buff/cache
MiB Mem : 128530.7 total,   2815.2 free,  15408.7 used, 110306.9 buff/cache
MiB Mem : 128530.7 total,   2815.2 free,  15408.7 used, 110306.9 buff/cache
MiB Mem : 128530.7 total,   2815.2 free,  15408.7 used, 110306.9 buff/cache
MiB Mem : 128530.7 total,   2789.7 free,  15434.1 used, 110306.9 buff/cache
MiB Mem : 128530.7 total,   2789.7 free,  15434.1 used, 110306.9 buff/cache
MiB Mem : 128530.7 total,   2789.7 free,  15434.1 used, 110306.9 buff/cache
MiB Mem : 128530.7 total,   2727.4 free,  15496.4 used, 110307.0 buff/cache
MiB Mem : 128530.7 total,   2727.4 free,  15496.4 used, 110307.0 buff/cache
MiB Mem : 128530.7 total,   2727.4 free,  15496.4 used, 110307.0 buff/cache
MiB Mem : 128530.7 total,   2683.2 free,  15540.0 used, 110307.5 buff/cache
MiB Mem : 128530.7 total,   2683.2 free,  15540.0 used, 110307.5 buff/cache
MiB Mem : 128530.7 total,   2683.2 free,  15540.0 used, 110307.5 buff/cache
MiB Mem : 128530.7 total,   2637.0 free,  15586.2 used, 110307.5 buff/cache
MiB Mem : 128530.7 total,   2637.0 free,  15586.2 used, 110307.5 buff/cache
MiB Mem : 128530.7 total,   2637.0 free,  15586.2 used, 110307.5 buff/cache
MiB Mem : 128530.7 total,   2599.3 free,  15623.8 used, 110307.6 buff/cache
MiB Mem : 128530.7 total,   2599.3 free,  15623.8 used, 110307.6 buff/cache
MiB Mem : 128530.7 total,   2599.3 free,  15623.8 used, 110307.6 buff/cache
MiB Mem : 128530.7 total,   2560.3 free,  15662.8 used, 110307.7 buff/cache
MiB Mem : 128530.7 total,   2560.3 free,  15662.8 used, 110307.7 buff/cache
MiB Mem : 128530.7 total,   2560.3 free,  15662.8 used, 110307.7 buff/cache
MiB Mem : 128530.7 total,   2499.6 free,  15722.9 used, 110308.2 buff/cache
MiB Mem : 128530.7 total,   2499.6 free,  15722.9 used, 110308.2 buff/cache
MiB Mem : 128530.7 total,   2499.6 free,  15722.9 used, 110308.2 buff/cache
MiB Mem : 128530.7 total,   2540.0 free,  15682.4 used, 110308.3 buff/cache
MiB Mem : 128530.7 total,   2540.0 free,  15682.4 used, 110308.3 buff/cache
MiB Mem : 128530.7 total,   2540.0 free,  15682.4 used, 110308.3 buff/cache
MiB Mem : 128530.7 total,   2449.3 free,  15773.1 used, 110308.3 buff/cache
MiB Mem : 128530.7 total,   2449.3 free,  15773.1 used, 110308.3 buff/cache
MiB Mem : 128530.7 total,   2449.3 free,  15773.1 used, 110308.3 buff/cache
MiB Mem : 128530.7 total,   2490.0 free,  15732.4 used, 110308.4 buff/cache
MiB Mem : 128530.7 total,   2490.0 free,  15732.4 used, 110308.4 buff/cache
MiB Mem : 128530.7 total,   2490.0 free,  15732.4 used, 110308.4 buff/cache
MiB Mem : 128530.7 total,   2516.0 free,  15705.9 used, 110308.9 buff/cache
MiB Mem : 128530.7 total,   2516.0 free,  15705.9 used, 110308.9 buff/cache
MiB Mem : 128530.7 total,   2516.0 free,  15705.9 used, 110308.9 buff/cache
MiB Mem : 128530.7 total,   2461.3 free,  15760.4 used, 110309.0 buff/cache
MiB Mem : 128530.7 total,   2461.3 free,  15760.4 used, 110309.0 buff/cache
MiB Mem : 128530.7 total,   2461.3 free,  15760.4 used, 110309.0 buff/cache
MiB Mem : 128530.7 total,   2464.6 free,  15757.1 used, 110309.0 buff/cache
MiB Mem : 128530.7 total,   2464.6 free,  15757.1 used, 110309.0 buff/cache
MiB Mem : 128530.7 total,   2464.6 free,  15757.1 used, 110309.0 buff/cache
MiB Mem : 128530.7 total,   2482.5 free,  15739.2 used, 110309.0 buff/cache
MiB Mem : 128530.7 total,   2482.5 free,  15739.2 used, 110309.0 buff/cache
MiB Mem : 128530.7 total,   2482.5 free,  15739.2 used, 110309.0 buff/cache
MiB Mem : 128530.7 total,   2436.0 free,  15785.6 used, 110309.1 buff/cache
MiB Mem : 128530.7 total,   2436.0 free,  15785.6 used, 110309.1 buff/cache
MiB Mem : 128530.7 total,   2436.0 free,  15785.6 used, 110309.1 buff/cache
MiB Mem : 128530.7 total,   2477.0 free,  15744.0 used, 110309.7 buff/cache
MiB Mem : 128530.7 total,   2477.0 free,  15744.0 used, 110309.7 buff/cache
MiB Mem : 128530.7 total,   2477.0 free,  15744.0 used, 110309.7 buff/cache
MiB Mem : 128530.7 total,   2448.9 free,  15772.2 used, 110309.7 buff/cache
MiB Mem : 128530.7 total,   2448.9 free,  15772.2 used, 110309.7 buff/cache
MiB Mem : 128530.7 total,   2448.9 free,  15772.2 used, 110309.7 buff/cache
MiB Mem : 128530.7 total,   2442.0 free,  15779.0 used, 110309.7 buff/cache
MiB Mem : 128530.7 total,   2442.0 free,  15779.0 used, 110309.7 buff/cache
MiB Mem : 128530.7 total,   2442.0 free,  15779.0 used, 110309.7 buff/cache
MiB Mem : 128530.7 total,   2394.8 free,  15826.2 used, 110309.8 buff/cache
MiB Mem : 128530.7 total,   2394.8 free,  15826.2 used, 110309.8 buff/cache
MiB Mem : 128530.7 total,   2376.8 free,  15843.6 used, 110310.3 buff/cache
MiB Mem : 128530.7 total,   2376.8 free,  15843.6 used, 110310.3 buff/cache
MiB Mem : 128530.7 total,   2376.8 free,  15843.6 used, 110310.3 buff/cache
MiB Mem : 128530.7 total,   2434.3 free,  15786.1 used, 110310.4 buff/cache
MiB Mem : 128530.7 total,   2434.3 free,  15786.1 used, 110310.4 buff/cache
MiB Mem : 128530.7 total,   2434.3 free,  15786.1 used, 110310.4 buff/cache
MiB Mem : 128530.7 total,   2399.8 free,  15820.4 used, 110310.5 buff/cache
MiB Mem : 128530.7 total,   2399.8 free,  15820.4 used, 110310.5 buff/cache
MiB Mem : 128530.7 total,   2399.8 free,  15820.4 used, 110310.5 buff/cache
MiB Mem : 128530.7 total,   2400.9 free,  15819.3 used, 110310.5 buff/cache
MiB Mem : 128530.7 total,   2400.9 free,  15819.3 used, 110310.5 buff/cache
MiB Mem : 128530.7 total,   2400.9 free,  15819.3 used, 110310.5 buff/cache
MiB Mem : 128530.7 total,   2469.2 free,  15750.5 used, 110311.0 buff/cache
MiB Mem : 128530.7 total,   2469.2 free,  15750.5 used, 110311.0 buff/cache
MiB Mem : 128530.7 total,   2469.2 free,  15750.5 used, 110311.0 buff/cache
MiB Mem : 128530.7 total,   2386.5 free,  15833.1 used, 110311.1 buff/cache
MiB Mem : 128530.7 total,   2386.5 free,  15833.1 used, 110311.1 buff/cache
MiB Mem : 128530.7 total,   2386.5 free,  15833.1 used, 110311.1 buff/cache
MiB Mem : 128530.7 total,   2430.0 free,  15789.6 used, 110311.2 buff/cache
MiB Mem : 128530.7 total,   2430.0 free,  15789.6 used, 110311.2 buff/cache
MiB Mem : 128530.7 total,   2430.0 free,  15789.6 used, 110311.2 buff/cache
MiB Mem : 128530.7 total,   2418.5 free,  15801.0 used, 110311.2 buff/cache
MiB Mem : 128530.7 total,   2418.5 free,  15801.0 used, 110311.2 buff/cache
MiB Mem : 128530.7 total,   2418.5 free,  15801.0 used, 110311.2 buff/cache
MiB Mem : 128530.7 total,   2434.7 free,  15784.3 used, 110311.8 buff/cache
MiB Mem : 128530.7 total,   2434.7 free,  15784.3 used, 110311.8 buff/cache
MiB Mem : 128530.7 total,   2434.7 free,  15784.3 used, 110311.8 buff/cache
MiB Mem : 128530.7 total,   2376.2 free,  15842.7 used, 110311.8 buff/cache
MiB Mem : 128530.7 total,   2376.2 free,  15842.7 used, 110311.8 buff/cache
MiB Mem : 128530.7 total,   2376.2 free,  15842.7 used, 110311.8 buff/cache
MiB Mem : 128530.7 total,   2393.2 free,  15825.7 used, 110311.9 buff/cache
MiB Mem : 128530.7 total,   2393.2 free,  15825.7 used, 110311.9 buff/cache
MiB Mem : 128530.7 total,   2393.2 free,  15825.7 used, 110311.9 buff/cache
MiB Mem : 128530.7 total,   2378.2 free,  15840.6 used, 110311.9 buff/cache
MiB Mem : 128530.7 total,   2378.2 free,  15840.6 used, 110311.9 buff/cache
MiB Mem : 128530.7 total,   2378.2 free,  15840.6 used, 110311.9 buff/cache
MiB Mem : 128530.7 total,   2425.3 free,  15792.9 used, 110312.5 buff/cache
MiB Mem : 128530.7 total,   2425.3 free,  15792.9 used, 110312.5 buff/cache
MiB Mem : 128530.7 total,   2425.3 free,  15792.9 used, 110312.5 buff/cache
MiB Mem : 128530.7 total,   2434.7 free,  15783.5 used, 110312.5 buff/cache
MiB Mem : 128530.7 total,   2434.7 free,  15783.5 used, 110312.5 buff/cache
MiB Mem : 128530.7 total,   2434.7 free,  15783.5 used, 110312.5 buff/cache
MiB Mem : 128530.7 total,   2419.7 free,  15798.4 used, 110312.6 buff/cache
MiB Mem : 128530.7 total,   2419.7 free,  15798.4 used, 110312.6 buff/cache
MiB Mem : 128530.7 total,   2419.7 free,  15798.4 used, 110312.6 buff/cache
MiB Mem : 128530.7 total,   2405.6 free,  15812.5 used, 110312.6 buff/cache
MiB Mem : 128530.7 total,   2405.6 free,  15812.5 used, 110312.6 buff/cache
MiB Mem : 128530.7 total,   2405.6 free,  15812.5 used, 110312.6 buff/cache
MiB Mem : 128530.7 total,   2452.3 free,  15765.3 used, 110313.2 buff/cache
MiB Mem : 128530.7 total,   2452.3 free,  15765.3 used, 110313.2 buff/cache
MiB Mem : 128530.7 total,   2423.3 free,  15794.2 used, 110313.2 buff/cache
MiB Mem : 128530.7 total,   2423.3 free,  15794.2 used, 110313.2 buff/cache
MiB Mem : 128530.7 total,   2423.3 free,  15794.2 used, 110313.2 buff/cache
MiB Mem : 128530.7 total,   2405.9 free,  15811.5 used, 110313.3 buff/cache
MiB Mem : 128530.7 total,   2405.9 free,  15811.5 used, 110313.3 buff/cache
MiB Mem : 128530.7 total,   2405.9 free,  15811.5 used, 110313.3 buff/cache
MiB Mem : 128530.7 total,   2341.2 free,  15876.2 used, 110313.4 buff/cache
MiB Mem : 128530.7 total,   2341.2 free,  15876.2 used, 110313.4 buff/cache
MiB Mem : 128530.7 total,   2341.2 free,  15876.2 used, 110313.4 buff/cache
MiB Mem : 128530.7 total,   2400.3 free,  15816.5 used, 110313.9 buff/cache
MiB Mem : 128530.7 total,   2400.3 free,  15816.5 used, 110313.9 buff/cache
MiB Mem : 128530.7 total,   2400.3 free,  15816.5 used, 110313.9 buff/cache
MiB Mem : 128530.7 total,   2415.4 free,  15801.4 used, 110313.9 buff/cache
MiB Mem : 128530.7 total,   2415.4 free,  15801.4 used, 110313.9 buff/cache
MiB Mem : 128530.7 total,   2415.4 free,  15801.4 used, 110313.9 buff/cache
MiB Mem : 128530.7 total,   2387.9 free,  15828.9 used, 110314.0 buff/cache
MiB Mem : 128530.7 total,   2387.9 free,  15828.9 used, 110314.0 buff/cache
MiB Mem : 128530.7 total,   2387.9 free,  15828.9 used, 110314.0 buff/cache
MiB Mem : 128530.7 total,   2368.3 free,  15848.4 used, 110314.0 buff/cache
MiB Mem : 128530.7 total,   2368.3 free,  15848.4 used, 110314.0 buff/cache
MiB Mem : 128530.7 total,   2368.3 free,  15848.4 used, 110314.0 buff/cache
MiB Mem : 128530.7 total,   2400.1 free,  15816.6 used, 110314.1 buff/cache
MiB Mem : 128530.7 total,   2400.1 free,  15816.6 used, 110314.1 buff/cache
MiB Mem : 128530.7 total,   2400.1 free,  15816.6 used, 110314.1 buff/cache
MiB Mem : 128530.7 total,   2381.7 free,  15834.4 used, 110314.6 buff/cache
MiB Mem : 128530.7 total,   2381.7 free,  15834.4 used, 110314.6 buff/cache
MiB Mem : 128530.7 total,   2381.7 free,  15834.4 used, 110314.6 buff/cache
MiB Mem : 128530.7 total,   2435.2 free,  15780.9 used, 110314.7 buff/cache
MiB Mem : 128530.7 total,   2435.2 free,  15780.9 used, 110314.7 buff/cache
MiB Mem : 128530.7 total,   2435.2 free,  15780.9 used, 110314.7 buff/cache
MiB Mem : 128530.7 total,   2421.1 free,  15794.9 used, 110314.7 buff/cache
MiB Mem : 128530.7 total,   2421.1 free,  15794.9 used, 110314.7 buff/cache
MiB Mem : 128530.7 total,   2421.1 free,  15794.9 used, 110314.7 buff/cache
MiB Mem : 128530.7 total,   2416.4 free,  15799.5 used, 110314.8 buff/cache
MiB Mem : 128530.7 total,   2416.4 free,  15799.5 used, 110314.8 buff/cache
MiB Mem : 128530.7 total,   2416.4 free,  15799.5 used, 110314.8 buff/cache
MiB Mem : 128530.7 total,   2401.6 free,  15813.7 used, 110315.4 buff/cache
MiB Mem : 128530.7 total,   2401.6 free,  15813.7 used, 110315.4 buff/cache
MiB Mem : 128530.7 total,   2401.6 free,  15813.7 used, 110315.4 buff/cache
MiB Mem : 128530.7 total,   2386.8 free,  15828.6 used, 110315.4 buff/cache
MiB Mem : 128530.7 total,   2386.8 free,  15828.6 used, 110315.4 buff/cache
MiB Mem : 128530.7 total,   2386.8 free,  15828.6 used, 110315.4 buff/cache
MiB Mem : 128530.7 total,   2444.9 free,  15770.3 used, 110315.4 buff/cache
MiB Mem : 128530.7 total,   2444.9 free,  15770.3 used, 110315.4 buff/cache
MiB Mem : 128530.7 total,   2444.9 free,  15770.3 used, 110315.4 buff/cache
MiB Mem : 128530.7 total,   2446.4 free,  15768.8 used, 110315.5 buff/cache
MiB Mem : 128530.7 total,   2446.4 free,  15768.8 used, 110315.5 buff/cache
MiB Mem : 128530.7 total,   2446.4 free,  15768.8 used, 110315.5 buff/cache
MiB Mem : 128530.7 total,   2458.9 free,  15756.0 used, 110315.8 buff/cache
MiB Mem : 128530.7 total,   2458.9 free,  15756.0 used, 110315.8 buff/cache
MiB Mem : 128530.7 total,   2458.9 free,  15756.0 used, 110315.8 buff/cache
MiB Mem : 128530.7 total,   2441.4 free,  15773.0 used, 110316.3 buff/cache
MiB Mem : 128530.7 total,   2441.4 free,  15773.0 used, 110316.3 buff/cache
MiB Mem : 128530.7 total,   2451.6 free,  15762.7 used, 110316.4 buff/cache
MiB Mem : 128530.7 total,   2451.6 free,  15762.7 used, 110316.4 buff/cache
MiB Mem : 128530.7 total,   2451.6 free,  15762.7 used, 110316.4 buff/cache
MiB Mem : 128530.7 total,   2380.6 free,  15833.7 used, 110316.4 buff/cache
MiB Mem : 128530.7 total,   2380.6 free,  15833.7 used, 110316.4 buff/cache
MiB Mem : 128530.7 total,   2380.6 free,  15833.7 used, 110316.4 buff/cache
MiB Mem : 128530.7 total,   2398.0 free,  15816.2 used, 110316.5 buff/cache
MiB Mem : 128530.7 total,   2398.0 free,  15816.2 used, 110316.5 buff/cache
MiB Mem : 128530.7 total,   2398.0 free,  15816.2 used, 110316.5 buff/cache
MiB Mem : 128530.7 total,   2428.5 free,  15785.7 used, 110316.5 buff/cache
MiB Mem : 128530.7 total,   2428.5 free,  15785.7 used, 110316.5 buff/cache
MiB Mem : 128530.7 total,   2428.5 free,  15785.7 used, 110316.5 buff/cache
MiB Mem : 128530.7 total,   2447.1 free,  15767.1 used, 110316.6 buff/cache
MiB Mem : 128530.7 total,   2447.1 free,  15767.1 used, 110316.6 buff/cache
MiB Mem : 128530.7 total,   2447.1 free,  15767.1 used, 110316.6 buff/cache
MiB Mem : 128530.7 total,   2415.7 free,  15798.1 used, 110316.9 buff/cache
MiB Mem : 128530.7 total,   2415.7 free,  15798.1 used, 110316.9 buff/cache
MiB Mem : 128530.7 total,   2415.7 free,  15798.1 used, 110316.9 buff/cache
MiB Mem : 128530.7 total,   2409.1 free,  15804.2 used, 110317.4 buff/cache
MiB Mem : 128530.7 total,   2409.1 free,  15804.2 used, 110317.4 buff/cache
MiB Mem : 128530.7 total,   2409.1 free,  15804.2 used, 110317.4 buff/cache
MiB Mem : 128530.7 total,   2384.7 free,  15828.1 used, 110318.0 buff/cache
MiB Mem : 128530.7 total,   2384.7 free,  15828.1 used, 110318.0 buff/cache
MiB Mem : 128530.7 total,   2384.7 free,  15828.1 used, 110318.0 buff/cache
MiB Mem : 128530.7 total,   2395.8 free,  15816.9 used, 110318.0 buff/cache
MiB Mem : 128530.7 total,   2395.8 free,  15816.9 used, 110318.0 buff/cache
MiB Mem : 128530.7 total,   2395.8 free,  15816.9 used, 110318.0 buff/cache
MiB Mem : 128530.7 total,   2392.4 free,  15820.3 used, 110318.0 buff/cache
MiB Mem : 128530.7 total,   2392.4 free,  15820.3 used, 110318.0 buff/cache
MiB Mem : 128530.7 total,   2392.4 free,  15820.3 used, 110318.0 buff/cache
MiB Mem : 128530.7 total,   2377.9 free,  15834.8 used, 110318.1 buff/cache
MiB Mem : 128530.7 total,   2377.9 free,  15834.8 used, 110318.1 buff/cache
MiB Mem : 128530.7 total,   2377.9 free,  15834.8 used, 110318.1 buff/cache
MiB Mem : 128530.7 total,   2360.3 free,  15850.2 used, 110320.2 buff/cache
MiB Mem : 128530.7 total,   2360.3 free,  15850.2 used, 110320.2 buff/cache
MiB Mem : 128530.7 total,   2360.3 free,  15850.2 used, 110320.2 buff/cache
MiB Mem : 128530.7 total,   2349.7 free,  15860.3 used, 110320.7 buff/cache
MiB Mem : 128530.7 total,   2349.7 free,  15860.3 used, 110320.7 buff/cache
MiB Mem : 128530.7 total,   2349.7 free,  15860.3 used, 110320.7 buff/cache
MiB Mem : 128530.7 total,   2364.6 free,  15843.9 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   2364.6 free,  15843.9 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   2364.6 free,  15843.9 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   2339.6 free,  15868.8 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   2339.6 free,  15868.8 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   2339.6 free,  15868.8 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   2347.7 free,  15860.2 used, 110322.9 buff/cache
MiB Mem : 128530.7 total,   2347.7 free,  15860.2 used, 110322.9 buff/cache
MiB Mem : 128530.7 total,   2347.7 free,  15860.2 used, 110322.9 buff/cache
MiB Mem : 128530.7 total,   2349.5 free,  15857.8 used, 110323.4 buff/cache
MiB Mem : 128530.7 total,   2349.5 free,  15857.8 used, 110323.4 buff/cache
MiB Mem : 128530.7 total,   2349.5 free,  15857.8 used, 110323.4 buff/cache
MiB Mem : 128530.7 total,   2320.4 free,  15886.8 used, 110323.5 buff/cache
MiB Mem : 128530.7 total,   2320.4 free,  15886.8 used, 110323.5 buff/cache
MiB Mem : 128530.7 total,   2320.4 free,  15886.8 used, 110323.5 buff/cache
MiB Mem : 128530.7 total,   2331.4 free,  15875.8 used, 110323.5 buff/cache
MiB Mem : 128530.7 total,   2331.4 free,  15875.8 used, 110323.5 buff/cache
MiB Mem : 128530.7 total,   2331.4 free,  15875.8 used, 110323.5 buff/cache
MiB Mem : 128530.7 total,   2363.7 free,  15843.5 used, 110323.5 buff/cache
MiB Mem : 128530.7 total,   2363.7 free,  15843.5 used, 110323.5 buff/cache
MiB Mem : 128530.7 total,   2363.7 free,  15843.5 used, 110323.5 buff/cache
MiB Mem : 128530.7 total,   2330.2 free,  15877.0 used, 110323.6 buff/cache
MiB Mem : 128530.7 total,   2330.2 free,  15877.0 used, 110323.6 buff/cache
MiB Mem : 128530.7 total,   2330.2 free,  15877.0 used, 110323.6 buff/cache
MiB Mem : 128530.7 total,   2333.9 free,  15872.7 used, 110324.1 buff/cache
MiB Mem : 128530.7 total,   2333.9 free,  15872.7 used, 110324.1 buff/cache
MiB Mem : 128530.7 total,   2333.9 free,  15872.7 used, 110324.1 buff/cache
MiB Mem : 128530.7 total,   2324.6 free,  15882.0 used, 110324.2 buff/cache
MiB Mem : 128530.7 total,   2324.6 free,  15882.0 used, 110324.2 buff/cache
MiB Mem : 128530.7 total,   2324.6 free,  15882.0 used, 110324.2 buff/cache
MiB Mem : 128530.7 total,   2317.1 free,  15889.4 used, 110324.2 buff/cache
MiB Mem : 128530.7 total,   2317.1 free,  15889.4 used, 110324.2 buff/cache
MiB Mem : 128530.7 total,   2317.1 free,  15889.4 used, 110324.2 buff/cache
MiB Mem : 128530.7 total,   2331.3 free,  15875.1 used, 110324.3 buff/cache
MiB Mem : 128530.7 total,   2331.3 free,  15875.1 used, 110324.3 buff/cache
MiB Mem : 128530.7 total,   2331.3 free,  15875.1 used, 110324.3 buff/cache
MiB Mem : 128530.7 total,   2327.4 free,  15878.5 used, 110324.8 buff/cache
MiB Mem : 128530.7 total,   2327.4 free,  15878.5 used, 110324.8 buff/cache
MiB Mem : 128530.7 total,   2327.4 free,  15878.5 used, 110324.8 buff/cache
MiB Mem : 128530.7 total,   2298.9 free,  15907.0 used, 110324.9 buff/cache
MiB Mem : 128530.7 total,   2298.9 free,  15907.0 used, 110324.9 buff/cache
MiB Mem : 128530.7 total,   2298.9 free,  15907.0 used, 110324.9 buff/cache
MiB Mem : 128530.7 total,   2331.7 free,  15874.1 used, 110324.9 buff/cache
MiB Mem : 128530.7 total,   2331.7 free,  15874.1 used, 110324.9 buff/cache
MiB Mem : 128530.7 total,   2331.7 free,  15874.1 used, 110324.9 buff/cache
MiB Mem : 128530.7 total,   2319.2 free,  15886.5 used, 110325.0 buff/cache
MiB Mem : 128530.7 total,   2319.2 free,  15886.5 used, 110325.0 buff/cache
MiB Mem : 128530.7 total,   2319.2 free,  15886.5 used, 110325.0 buff/cache
MiB Mem : 128530.7 total,   2326.4 free,  15878.8 used, 110325.5 buff/cache
MiB Mem : 128530.7 total,   2326.4 free,  15878.8 used, 110325.5 buff/cache
MiB Mem : 128530.7 total,   2326.4 free,  15878.8 used, 110325.5 buff/cache
MiB Mem : 128530.7 total,   2272.3 free,  15932.8 used, 110325.6 buff/cache
MiB Mem : 128530.7 total,   2272.3 free,  15932.8 used, 110325.6 buff/cache
MiB Mem : 128530.7 total,   2272.3 free,  15932.8 used, 110325.6 buff/cache
MiB Mem : 128530.7 total,   2322.5 free,  15882.5 used, 110325.6 buff/cache
MiB Mem : 128530.7 total,   2322.5 free,  15882.5 used, 110325.6 buff/cache
MiB Mem : 128530.7 total,   2322.5 free,  15882.5 used, 110325.6 buff/cache
MiB Mem : 128530.7 total,   2308.5 free,  15896.6 used, 110325.7 buff/cache
MiB Mem : 128530.7 total,   2308.5 free,  15896.6 used, 110325.7 buff/cache
MiB Mem : 128530.7 total,   2308.5 free,  15896.6 used, 110325.7 buff/cache
MiB Mem : 128530.7 total,   2295.4 free,  15909.1 used, 110326.2 buff/cache
MiB Mem : 128530.7 total,   2295.4 free,  15909.1 used, 110326.2 buff/cache
MiB Mem : 128530.7 total,   2295.4 free,  15909.1 used, 110326.2 buff/cache
