timestamp; index; utilization.gpu [%]; utilization.memory [%]; memory.used [MiB]; power.draw [W]; temperature.gpu
2025/12/26 04:44:08.404;0;0%;0%; 447 MiB; 14.85 W;30
2025/12/26 04:44:08.405;1;0%;0%; 4 MiB; 13.45 W;26
2025/12/26 04:44:09.406;0;0%;0%; 447 MiB; 26.41 W;31
2025/12/26 04:44:09.406;1;0%;0%; 4 MiB; 22.69 W;28
2025/12/26 04:44:10.407;0;0%;0%; 2634 MiB; 57.41 W;32
2025/12/26 04:44:10.408;1;0%;0%; 2633 MiB; 56.20 W;28
2025/12/26 04:44:11.408;0;2%;0%; 3304 MiB; 57.54 W;33
2025/12/26 04:44:11.409;1;0%;0%; 3303 MiB; 62.46 W;29
2025/12/26 04:44:12.410;0;38%;34%; 3310 MiB; 124.22 W;35
2025/12/26 04:44:12.411;1;43%;38%; 3309 MiB; 166.28 W;34
2025/12/26 04:44:13.411;0;38%;31%; 3312 MiB; 136.26 W;36
2025/12/26 04:44:13.412;1;44%;39%; 3311 MiB; 184.66 W;35
2025/12/26 04:44:14.412;0;38%;32%; 3312 MiB; 138.78 W;37
2025/12/26 04:44:14.413;1;44%;42%; 3311 MiB; 186.40 W;36
2025/12/26 04:44:15.414;0;38%;34%; 3312 MiB; 139.83 W;37
2025/12/26 04:44:15.414;1;45%;42%; 3311 MiB; 187.67 W;37
2025/12/26 04:44:16.415;0;37%;34%; 3312 MiB; 144.84 W;38
2025/12/26 04:44:16.416;1;43%;38%; 3311 MiB; 188.57 W;37
2025/12/26 04:44:17.416;0;39%;32%; 3312 MiB; 145.81 W;38
2025/12/26 04:44:17.417;1;43%;39%; 3311 MiB; 188.00 W;38
2025/12/26 04:44:18.418;0;39%;32%; 3312 MiB; 140.56 W;39
2025/12/26 04:44:18.418;1;44%;42%; 3311 MiB; 188.17 W;38
2025/12/26 04:44:19.419;0;40%;36%; 3312 MiB; 145.59 W;40
2025/12/26 04:44:19.420;1;47%;44%; 3311 MiB; 193.83 W;39
2025/12/26 04:44:20.420;0;39%;34%; 3312 MiB; 149.04 W;40
