timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], temperature.gpu
2025/12/24 06:19:54.200, 0, 0 %, 0 %, 447 MiB, 14.71 W, 28
2025/12/24 06:19:54.200, 1, 0 %, 0 %, 4 MiB, 13.44 W, 25
2025/12/24 06:19:55.201, 0, 4 %, 0 %, 618 MiB, 29.32 W, 30
2025/12/24 06:19:55.202, 1, 0 %, 0 %, 4 MiB, 27.60 W, 26
2025/12/24 06:19:56.202, 0, 0 %, 0 %, 1966 MiB, 57.21 W, 30
2025/12/24 06:19:56.203, 1, 40 %, 1 %, 1883 MiB, 55.44 W, 27
2025/12/24 06:19:57.203, 0, 37 %, 24 %, 2010 MiB, 91.43 W, 33
2025/12/24 06:19:57.204, 1, 44 %, 34 %, 1927 MiB, 120.26 W, 31
2025/12/24 06:19:58.205, 0, 37 %, 24 %, 2010 MiB, 118.59 W, 33
2025/12/24 06:19:58.205, 1, 43 %, 33 %, 1927 MiB, 181.52 W, 33
2025/12/24 06:19:59.206, 0, 36 %, 24 %, 2010 MiB, 118.54 W, 34
2025/12/24 06:19:59.206, 1, 44 %, 34 %, 1927 MiB, 181.83 W, 33
2025/12/24 06:20:00.207, 0, 37 %, 24 %, 2010 MiB, 118.66 W, 34
2025/12/24 06:20:00.207, 1, 43 %, 33 %, 1927 MiB, 182.03 W, 35
2025/12/24 06:20:01.208, 0, 37 %, 23 %, 2010 MiB, 119.72 W, 35
2025/12/24 06:20:01.209, 1, 44 %, 33 %, 1927 MiB, 182.90 W, 35
2025/12/24 06:20:02.209, 0, 36 %, 24 %, 2010 MiB, 120.45 W, 35
2025/12/24 06:20:02.210, 1, 44 %, 34 %, 1927 MiB, 183.11 W, 35
2025/12/24 06:20:03.210, 0, 37 %, 24 %, 2010 MiB, 121.16 W, 35
2025/12/24 06:20:03.211, 1, 44 %, 33 %, 1927 MiB, 183.58 W, 36
2025/12/24 06:20:04.211, 0, 37 %, 25 %, 2010 MiB, 120.90 W, 36
2025/12/24 06:20:04.212, 1, 43 %, 34 %, 1927 MiB, 182.67 W, 37
2025/12/24 06:20:05.213, 0, 37 %, 24 %, 2010 MiB, 120.77 W, 36
2025/12/24 06:20:05.214, 1, 43 %, 33 %, 1927 MiB, 183.01 W, 37
2025/12/24 06:20:06.214, 0, 36 %, 23 %, 2010 MiB, 121.22 W, 36
2025/12/24 06:20:06.215, 1, 43 %, 32 %, 1927 MiB, 182.71 W, 38
2025/12/24 06:20:07.216, 0, 36 %, 24 %, 2010 MiB, 120.66 W, 37
2025/12/24 06:20:07.217, 1, 44 %, 34 %, 1927 MiB, 183.33 W, 38
2025/12/24 06:20:08.218, 0, 36 %, 24 %, 2010 MiB, 121.26 W, 37
2025/12/24 06:20:08.218, 1, 44 %, 34 %, 1927 MiB, 183.54 W, 39
2025/12/24 06:20:09.219, 0, 37 %, 24 %, 2010 MiB, 121.65 W, 37
2025/12/24 06:20:09.219, 1, 44 %, 33 %, 1927 MiB, 183.75 W, 39
2025/12/24 06:20:10.220, 0, 36 %, 24 %, 2010 MiB, 120.94 W, 37
2025/12/24 06:20:10.220, 1, 43 %, 34 %, 1927 MiB, 183.25 W, 40
2025/12/24 06:20:11.221, 0, 37 %, 24 %, 2010 MiB, 122.12 W, 38
2025/12/24 06:20:11.222, 1, 44 %, 33 %, 1927 MiB, 184.50 W, 40
2025/12/24 06:20:12.222, 0, 38 %, 26 %, 2010 MiB, 122.81 W, 38
