timestamp; index; utilization.gpu [%]; utilization.memory [%]; memory.used [MiB]; power.draw [W]; temperature.gpu
2025/12/13 05:58:03.986;0;0%;0%; 447 MiB; 14.58 W;29
2025/12/13 05:58:03.987;1;0%;0%; 4 MiB; 13.03 W;26
2025/12/13 05:58:04.988;0;4%;0%; 459 MiB; 37.03 W;31
2025/12/13 05:58:04.988;1;0%;0%; 4 MiB; 32.72 W;28
2025/12/13 05:58:05.989;0;34%;1%; 2634 MiB; 57.50 W;31
2025/12/13 05:58:05.990;1;0%;0%; 2633 MiB; 55.93 W;28
2025/12/13 05:58:06.990;0;28%;24%; 3304 MiB; 67.54 W;33
2025/12/13 05:58:06.991;1;2%;0%; 3303 MiB; 75.31 W;32
2025/12/13 05:58:07.992;0;40%;36%; 3304 MiB; 150.23 W;36
2025/12/13 05:58:07.992;1;47%;44%; 3303 MiB; 192.01 W;34
2025/12/13 05:58:08.993;0;41%;36%; 3304 MiB; 154.88 W;37
2025/12/13 05:58:08.993;1;47%;43%; 3303 MiB; 196.11 W;35
2025/12/13 05:58:09.994;0;40%;35%; 3304 MiB; 159.23 W;38
2025/12/13 05:58:09.997;1;47%;42%; 3303 MiB; 195.61 W;36
2025/12/13 05:58:10.998;0;39%;36%; 3304 MiB; 164.89 W;39
2025/12/13 05:58:10.998;1;47%;45%; 3303 MiB; 196.74 W;37
2025/12/13 05:58:11.999;0;40%;36%; 3304 MiB; 163.35 W;39
2025/12/13 05:58:12.000;1;48%;44%; 3303 MiB; 196.57 W;38
2025/12/13 05:58:13.000;0;41%;36%; 3304 MiB; 161.99 W;40
2025/12/13 05:58:13.001;1;49%;44%; 3303 MiB; 197.73 W;38
2025/12/13 05:58:14.002;0;41%;35%; 3304 MiB; 174.06 W;41
2025/12/13 05:58:14.002;1;49%;44%; 3303 MiB; 199.44 W;39
2025/12/13 05:58:15.003;0;40%;36%; 3304 MiB; 177.42 W;41
2025/12/13 05:58:15.004;1;48%;42%; 3303 MiB; 198.31 W;39
2025/12/13 05:58:16.004;0;40%;36%; 3304 MiB; 168.25 W;42
2025/12/13 05:58:16.005;1;48%;44%; 3303 MiB; 195.19 W;40
2025/12/13 05:58:17.006;0;40%;36%; 3304 MiB; 163.35 W;41
2025/12/13 05:58:17.007;1;47%;43%; 3303 MiB; 196.05 W;40
2025/12/13 05:58:18.007;0;39%;36%; 3304 MiB; 165.35 W;42
2025/12/13 05:58:18.008;1;49%;44%; 3303 MiB; 196.17 W;41
2025/12/13 05:58:19.008;0;40%;36%; 3304 MiB; 170.23 W;43
2025/12/13 05:58:19.009;1;48%;44%; 3303 MiB; 196.58 W;41
2025/12/13 05:58:20.009;0;40%;35%; 3304 MiB; 164.78 W;43
2025/12/13 05:58:20.010;1;49%;44%; 3303 MiB; 197.20 W;42
2025/12/13 05:58:21.010;0;40%;35%; 3304 MiB; 165.03 W;44
2025/12/13 05:58:21.011;1;48%;43%; 3303 MiB; 197.08 W;43
2025/12/13 05:58:22.012;0;41%;35%; 3304 MiB; 161.26 W;44
2025/12/13 05:58:22.012;1;48%;42%; 3303 MiB; 197.08 W;43
2025/12/13 05:58:23.013;0;38%;33%; 3304 MiB; 165.09 W;44
2025/12/13 05:58:23.013;1;49%;42%; 3303 MiB; 195.00 W;43
2025/12/13 05:58:24.014;0;40%;36%; 3304 MiB; 166.77 W;45
2025/12/13 05:58:24.015;1;47%;44%; 3303 MiB; 197.16 W;44
2025/12/13 05:58:25.015;0;41%;36%; 3304 MiB; 167.06 W;46
2025/12/13 05:58:25.016;1;46%;43%; 3303 MiB; 197.97 W;45
2025/12/13 05:58:26.017;0;41%;35%; 3304 MiB; 164.99 W;46
2025/12/13 05:58:26.018;1;49%;44%; 3303 MiB; 198.70 W;45
2025/12/13 05:58:27.021;0;40%;36%; 3304 MiB; 165.21 W;46
2025/12/13 05:58:27.021;1;47%;44%; 3303 MiB; 197.39 W;46
2025/12/13 05:58:28.022;0;39%;35%; 3304 MiB; 163.92 W;46
2025/12/13 05:58:28.022;1;47%;43%; 3303 MiB; 197.31 W;46
2025/12/13 05:58:29.023;0;41%;36%; 3304 MiB; 168.03 W;48
2025/12/13 05:58:29.023;1;49%;44%; 3303 MiB; 200.49 W;47
2025/12/13 05:58:30.024;0;41%;35%; 3304 MiB; 176.28 W;48
2025/12/13 05:58:30.024;1;48%;43%; 3303 MiB; 200.46 W;47
2025/12/13 05:58:31.025;0;39%;36%; 3304 MiB; 177.07 W;48
2025/12/13 05:58:31.026;1;48%;44%; 3303 MiB; 198.72 W;47
2025/12/13 05:58:32.026;0;40%;36%; 3304 MiB; 171.39 W;49
2025/12/13 05:58:32.027;1;48%;44%; 3303 MiB; 198.77 W;48
2025/12/13 05:58:33.027;0;41%;36%; 3304 MiB; 168.12 W;49
2025/12/13 05:58:33.028;1;48%;43%; 3303 MiB; 199.81 W;48
2025/12/13 05:58:34.028;0;41%;38%; 3304 MiB; 176.68 W;50
2025/12/13 05:58:34.029;1;48%;45%; 3303 MiB; 200.32 W;49
2025/12/13 05:58:35.029;0;40%;36%; 3304 MiB; 175.80 W;50
2025/12/13 05:58:35.030;1;48%;44%; 3303 MiB; 199.13 W;49
2025/12/13 05:58:36.031;0;41%;36%; 3304 MiB; 169.02 W;50
2025/12/13 05:58:36.031;1;48%;43%; 3303 MiB; 198.59 W;50
2025/12/13 05:58:37.032;0;40%;35%; 3304 MiB; 171.53 W;51
2025/12/13 05:58:37.032;1;48%;42%; 3303 MiB; 199.80 W;50
2025/12/13 05:58:38.033;0;40%;36%; 3304 MiB; 178.09 W;51
2025/12/13 05:58:38.034;1;48%;45%; 3303 MiB; 199.90 W;50
2025/12/13 05:58:39.035;0;40%;36%; 3304 MiB; 171.99 W;51
2025/12/13 05:58:39.035;1;48%;44%; 3303 MiB; 200.15 W;51
