timestamp; index; utilization.gpu [%]; utilization.memory [%]; memory.used [MiB]; power.draw [W]; temperature.gpu
2025/12/12 06:47:04.708;0;0%;0%; 447 MiB; 15.14 W;29
2025/12/12 06:47:04.709;1;0%;0%; 4 MiB; 13.32 W;26
2025/12/12 06:47:05.710;0;0%;0%; 447 MiB; 27.42 W;31
2025/12/12 06:47:05.710;1;4%;0%; 4 MiB; 22.04 W;27
2025/12/12 06:47:06.711;0;12%;0%; 1452 MiB; 57.58 W;31
2025/12/12 06:47:06.711;1;0%;0%; 1329 MiB; 56.17 W;28
2025/12/12 06:47:07.712;0;32%;20%; 2014 MiB; 76.43 W;33
2025/12/12 06:47:07.713;1;44%;33%; 1931 MiB; 87.25 W;31
2025/12/12 06:47:08.714;0;37%;22%; 2014 MiB; 109.36 W;34
2025/12/12 06:47:08.715;1;44%;31%; 1931 MiB; 143.70 W;33
2025/12/12 06:47:09.722;0;38%;22%; 2014 MiB; 114.88 W;35
2025/12/12 06:47:09.722;1;43%;31%; 1931 MiB; 175.87 W;35
2025/12/12 06:47:10.723;0;38%;23%; 2016 MiB; 114.82 W;35
2025/12/12 06:47:10.723;1;44%;31%; 1933 MiB; 178.96 W;35
2025/12/12 06:47:11.724;0;38%;21%; 2016 MiB; 114.94 W;36
2025/12/12 06:47:11.724;1;44%;31%; 1933 MiB; 177.45 W;36
2025/12/12 06:47:12.725;0;37%;22%; 2016 MiB; 115.07 W;36
2025/12/12 06:47:12.725;1;43%;31%; 1933 MiB; 177.45 W;36
2025/12/12 06:47:13.726;0;35%;20%; 2016 MiB; 113.43 W;36
2025/12/12 06:47:13.726;1;40%;28%; 1933 MiB; 171.84 W;36
2025/12/12 06:47:14.727;0;38%;22%; 2016 MiB; 112.61 W;37
2025/12/12 06:47:14.727;1;43%;31%; 1933 MiB; 164.92 W;37
2025/12/12 06:47:15.728;0;37%;21%; 2016 MiB; 114.86 W;37
2025/12/12 06:47:15.728;1;44%;31%; 1933 MiB; 176.15 W;38
2025/12/12 06:47:16.729;0;38%;23%; 2016 MiB; 115.76 W;37
2025/12/12 06:47:16.730;1;43%;30%; 1933 MiB; 178.79 W;38
2025/12/12 06:47:17.730;0;38%;22%; 2016 MiB; 115.14 W;37
