timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], temperature.gpu
2025/12/18 13:57:00.072, 0, 0 %, 0 %, 447 MiB, 14.63 W, 30
2025/12/18 13:57:00.073, 1, 0 %, 0 %, 4 MiB, 13.52 W, 26
2025/12/18 13:57:01.074, 0, 0 %, 0 %, 459 MiB, 34.04 W, 31
2025/12/18 13:57:01.083, 1, 0 %, 0 %, 4 MiB, 28.83 W, 28
2025/12/18 13:57:02.084, 0, 17 %, 1 %, 2634 MiB, 57.48 W, 32
2025/12/18 13:57:02.084, 1, 0 %, 0 %, 2633 MiB, 56.19 W, 28
2025/12/18 13:57:03.085, 0, 10 %, 3 %, 3304 MiB, 59.85 W, 32
2025/12/18 13:57:03.086, 1, 2 %, 0 %, 3303 MiB, 65.99 W, 31
2025/12/18 13:57:04.086, 0, 35 %, 26 %, 3310 MiB, 123.00 W, 35
2025/12/18 13:57:04.087, 1, 38 %, 31 %, 3309 MiB, 157.84 W, 34
2025/12/18 13:57:05.088, 0, 36 %, 30 %, 3310 MiB, 130.74 W, 36
2025/12/18 13:57:05.088, 1, 44 %, 37 %, 3309 MiB, 165.70 W, 35
2025/12/18 13:57:06.089, 0, 40 %, 36 %, 3312 MiB, 142.89 W, 37
2025/12/18 13:57:06.089, 1, 48 %, 44 %, 3311 MiB, 187.33 W, 36
2025/12/18 13:57:07.090, 0, 40 %, 33 %, 3312 MiB, 149.34 W, 38
2025/12/18 13:57:07.091, 1, 48 %, 42 %, 3311 MiB, 195.20 W, 37
2025/12/18 13:57:08.091, 0, 31 %, 23 %, 3312 MiB, 130.54 W, 38
2025/12/18 13:57:08.092, 1, 30 %, 26 %, 3311 MiB, 167.58 W, 36
2025/12/18 13:57:09.093, 0, 38 %, 27 %, 3312 MiB, 130.60 W, 38
2025/12/18 13:57:09.094, 1, 39 %, 30 %, 3311 MiB, 169.72 W, 37
2025/12/18 13:57:10.094, 0, 38 %, 31 %, 3312 MiB, 131.49 W, 39
2025/12/18 13:57:10.095, 1, 42 %, 34 %, 3311 MiB, 169.87 W, 38
2025/12/18 13:57:11.096, 0, 30 %, 25 %, 3312 MiB, 127.78 W, 39
2025/12/18 13:57:11.096, 1, 37 %, 30 %, 3311 MiB, 168.13 W, 38
2025/12/18 13:57:12.097, 0, 34 %, 28 %, 3312 MiB, 130.75 W, 39
2025/12/18 13:57:12.097, 1, 39 %, 34 %, 3311 MiB, 168.91 W, 39
2025/12/18 13:57:13.098, 0, 35 %, 28 %, 3312 MiB, 129.57 W, 39
2025/12/18 13:57:13.099, 1, 42 %, 37 %, 3311 MiB, 161.27 W, 39
2025/12/18 13:57:14.099, 0, 32 %, 23 %, 3312 MiB, 129.99 W, 40
2025/12/18 13:57:14.100, 1, 34 %, 29 %, 3311 MiB, 167.61 W, 39
2025/12/18 13:57:15.101, 0, 37 %, 30 %, 3312 MiB, 131.73 W, 40
2025/12/18 13:57:15.102, 1, 41 %, 33 %, 3311 MiB, 170.83 W, 40
2025/12/18 13:57:16.102, 0, 35 %, 29 %, 3312 MiB, 132.79 W, 40
2025/12/18 13:57:16.103, 1, 41 %, 36 %, 3311 MiB, 171.79 W, 40
2025/12/18 13:57:17.104, 0, 36 %, 26 %, 3312 MiB, 130.89 W, 41
2025/12/18 13:57:17.104, 1, 39 %, 34 %, 3311 MiB, 167.73 W, 41
2025/12/18 13:57:18.105, 0, 34 %, 25 %, 3312 MiB, 130.76 W, 41
2025/12/18 13:57:18.105, 1, 39 %, 34 %, 3311 MiB, 169.79 W, 41
2025/12/18 13:57:19.106, 0, 31 %, 22 %, 3312 MiB, 130.21 W, 41
2025/12/18 13:57:19.107, 1, 30 %, 25 %, 3311 MiB, 164.85 W, 41
2025/12/18 13:57:20.107, 0, 35 %, 26 %, 3312 MiB, 127.88 W, 42
2025/12/18 13:57:20.108, 1, 37 %, 32 %, 3311 MiB, 166.39 W, 42
2025/12/18 13:57:21.109, 0, 33 %, 27 %, 3312 MiB, 131.70 W, 43
2025/12/18 13:57:21.110, 1, 36 %, 28 %, 3311 MiB, 173.30 W, 43
2025/12/18 13:57:22.110, 0, 40 %, 36 %, 3312 MiB, 138.68 W, 43
2025/12/18 13:57:22.111, 1, 47 %, 44 %, 3311 MiB, 181.97 W, 44
2025/12/18 13:57:23.111, 0, 39 %, 35 %, 3312 MiB, 150.02 W, 44
2025/12/18 13:57:23.112, 1, 47 %, 44 %, 3311 MiB, 197.24 W, 44
2025/12/18 13:57:24.112, 0, 36 %, 27 %, 3312 MiB, 136.30 W, 44
2025/12/18 13:57:24.113, 1, 41 %, 36 %, 3311 MiB, 176.41 W, 44
2025/12/18 13:57:25.114, 0, 35 %, 26 %, 3312 MiB, 135.14 W, 44
2025/12/18 13:57:25.114, 1, 39 %, 32 %, 3311 MiB, 170.07 W, 44
2025/12/18 13:57:26.115, 0, 35 %, 28 %, 3312 MiB, 134.82 W, 44
2025/12/18 13:57:26.116, 1, 43 %, 35 %, 3311 MiB, 172.54 W, 44
2025/12/18 13:57:27.116, 0, 34 %, 28 %, 3312 MiB, 134.74 W, 44
2025/12/18 13:57:27.117, 1, 39 %, 34 %, 3311 MiB, 174.35 W, 45
2025/12/18 13:57:28.118, 0, 32 %, 23 %, 3312 MiB, 134.47 W, 45
2025/12/18 13:57:28.119, 1, 36 %, 31 %, 3311 MiB, 176.79 W, 45
2025/12/18 13:57:29.119, 0, 34 %, 25 %, 3312 MiB, 134.15 W, 45
2025/12/18 13:57:29.120, 1, 37 %, 31 %, 3311 MiB, 173.37 W, 46
2025/12/18 13:57:30.120, 0, 37 %, 30 %, 3312 MiB, 134.71 W, 45
2025/12/18 13:57:30.121, 1, 42 %, 34 %, 3311 MiB, 175.46 W, 46
2025/12/18 13:57:31.122, 0, 40 %, 36 %, 3312 MiB, 136.25 W, 46
2025/12/18 13:57:31.122, 1, 44 %, 41 %, 3311 MiB, 175.21 W, 47
2025/12/18 13:57:32.123, 0, 38 %, 28 %, 3314 MiB, 141.06 W, 46
2025/12/18 13:57:32.124, 1, 40 %, 35 %, 3313 MiB, 185.03 W, 47
2025/12/18 13:57:33.125, 0, 37 %, 30 %, 3314 MiB, 137.21 W, 46
2025/12/18 13:57:33.125, 1, 41 %, 32 %, 3313 MiB, 174.71 W, 47
2025/12/18 13:57:34.126, 0, 34 %, 28 %, 3314 MiB, 135.41 W, 47
2025/12/18 13:57:34.127, 1, 38 %, 33 %, 3313 MiB, 170.91 W, 48
2025/12/18 13:57:35.127, 0, 35 %, 26 %, 3314 MiB, 134.96 W, 47
2025/12/18 13:57:35.128, 1, 37 %, 32 %, 3313 MiB, 166.77 W, 48
2025/12/18 13:57:36.128, 0, 35 %, 28 %, 3314 MiB, 136.20 W, 47
2025/12/18 13:57:36.129, 1, 40 %, 32 %, 3313 MiB, 179.01 W, 49
2025/12/18 13:57:37.130, 0, 34 %, 28 %, 3314 MiB, 133.67 W, 48
2025/12/18 13:57:37.131, 1, 38 %, 30 %, 3313 MiB, 173.65 W, 48
2025/12/18 13:57:38.131, 0, 39 %, 30 %, 3314 MiB, 136.53 W, 48
2025/12/18 13:57:38.132, 1, 43 %, 36 %, 3313 MiB, 179.59 W, 49
2025/12/18 13:57:39.133, 0, 39 %, 27 %, 3314 MiB, 137.18 W, 48
2025/12/18 13:57:39.134, 1, 40 %, 33 %, 3313 MiB, 180.59 W, 49
2025/12/18 13:57:40.134, 0, 34 %, 26 %, 3314 MiB, 136.49 W, 48
2025/12/18 13:57:40.135, 1, 38 %, 28 %, 3313 MiB, 182.10 W, 49
2025/12/18 13:57:41.136, 0, 37 %, 28 %, 3314 MiB, 136.85 W, 48
2025/12/18 13:57:41.136, 1, 44 %, 34 %, 3313 MiB, 180.30 W, 50
2025/12/18 13:57:42.137, 0, 35 %, 27 %, 3314 MiB, 137.30 W, 48
2025/12/18 13:57:42.137, 1, 41 %, 34 %, 3313 MiB, 179.88 W, 50
2025/12/18 13:57:43.138, 0, 40 %, 28 %, 3314 MiB, 136.23 W, 49
