MiB Mem : 128530.7 total,   4147.1 free,  14169.4 used, 110214.2 buff/cache
MiB Mem : 128530.7 total,   4147.1 free,  14169.4 used, 110214.2 buff/cache
MiB Mem : 128530.7 total,   4147.1 free,  14169.4 used, 110214.2 buff/cache
MiB Mem : 128530.7 total,   3424.5 free,  14813.4 used, 110292.8 buff/cache
MiB Mem : 128530.7 total,   3424.5 free,  14813.4 used, 110292.8 buff/cache
MiB Mem : 128530.7 total,   3424.5 free,  14813.4 used, 110292.8 buff/cache
MiB Mem : 128530.7 total,   3320.4 free,  14917.4 used, 110292.9 buff/cache
MiB Mem : 128530.7 total,   3320.4 free,  14917.4 used, 110292.9 buff/cache
MiB Mem : 128530.7 total,   3320.4 free,  14917.4 used, 110292.9 buff/cache
MiB Mem : 128530.7 total,   3186.3 free,  15051.3 used, 110293.2 buff/cache
MiB Mem : 128530.7 total,   3186.3 free,  15051.3 used, 110293.2 buff/cache
MiB Mem : 128530.7 total,   3186.3 free,  15051.3 used, 110293.2 buff/cache
MiB Mem : 128530.7 total,   3130.2 free,  15106.9 used, 110293.7 buff/cache
MiB Mem : 128530.7 total,   3130.2 free,  15106.9 used, 110293.7 buff/cache
MiB Mem : 128530.7 total,   3130.2 free,  15106.9 used, 110293.7 buff/cache
MiB Mem : 128530.7 total,   3084.6 free,  15151.8 used, 110294.3 buff/cache
MiB Mem : 128530.7 total,   3084.6 free,  15151.8 used, 110294.3 buff/cache
MiB Mem : 128530.7 total,   3084.6 free,  15151.8 used, 110294.3 buff/cache
MiB Mem : 128530.7 total,   2966.8 free,  15269.6 used, 110294.4 buff/cache
MiB Mem : 128530.7 total,   2966.8 free,  15269.6 used, 110294.4 buff/cache
MiB Mem : 128530.7 total,   2966.8 free,  15269.6 used, 110294.4 buff/cache
MiB Mem : 128530.7 total,   2974.5 free,  15261.8 used, 110294.4 buff/cache
MiB Mem : 128530.7 total,   2974.5 free,  15261.8 used, 110294.4 buff/cache
MiB Mem : 128530.7 total,   2974.5 free,  15261.8 used, 110294.4 buff/cache
MiB Mem : 128530.7 total,   2956.8 free,  15279.5 used, 110294.5 buff/cache
MiB Mem : 128530.7 total,   2956.8 free,  15279.5 used, 110294.5 buff/cache
MiB Mem : 128530.7 total,   2956.8 free,  15279.5 used, 110294.5 buff/cache
MiB Mem : 128530.7 total,   2939.9 free,  15295.8 used, 110295.0 buff/cache
MiB Mem : 128530.7 total,   2939.9 free,  15295.8 used, 110295.0 buff/cache
MiB Mem : 128530.7 total,   2939.9 free,  15295.8 used, 110295.0 buff/cache
MiB Mem : 128530.7 total,   2898.8 free,  15336.9 used, 110295.1 buff/cache
MiB Mem : 128530.7 total,   2898.8 free,  15336.9 used, 110295.1 buff/cache
MiB Mem : 128530.7 total,   2898.8 free,  15336.9 used, 110295.1 buff/cache
MiB Mem : 128530.7 total,   2871.3 free,  15364.3 used, 110295.1 buff/cache
MiB Mem : 128530.7 total,   2871.3 free,  15364.3 used, 110295.1 buff/cache
MiB Mem : 128530.7 total,   2871.3 free,  15364.3 used, 110295.1 buff/cache
MiB Mem : 128530.7 total,   2850.0 free,  15385.6 used, 110295.2 buff/cache
MiB Mem : 128530.7 total,   2850.0 free,  15385.6 used, 110295.2 buff/cache
MiB Mem : 128530.7 total,   2850.0 free,  15385.6 used, 110295.2 buff/cache
MiB Mem : 128530.7 total,   2805.7 free,  15429.8 used, 110295.2 buff/cache
MiB Mem : 128530.7 total,   2805.7 free,  15429.8 used, 110295.2 buff/cache
MiB Mem : 128530.7 total,   2792.5 free,  15443.0 used, 110295.2 buff/cache
MiB Mem : 128530.7 total,   2792.5 free,  15443.0 used, 110295.2 buff/cache
MiB Mem : 128530.7 total,   2792.5 free,  15443.0 used, 110295.2 buff/cache
MiB Mem : 128530.7 total,   2732.3 free,  15503.1 used, 110295.3 buff/cache
MiB Mem : 128530.7 total,   2732.3 free,  15503.1 used, 110295.3 buff/cache
MiB Mem : 128530.7 total,   2732.3 free,  15503.1 used, 110295.3 buff/cache
MiB Mem : 128530.7 total,   2762.4 free,  15472.5 used, 110295.9 buff/cache
MiB Mem : 128530.7 total,   2762.4 free,  15472.5 used, 110295.9 buff/cache
MiB Mem : 128530.7 total,   2762.4 free,  15472.5 used, 110295.9 buff/cache
MiB Mem : 128530.7 total,   2800.4 free,  15434.0 used, 110296.4 buff/cache
MiB Mem : 128530.7 total,   2800.4 free,  15434.0 used, 110296.4 buff/cache
MiB Mem : 128530.7 total,   2800.4 free,  15434.0 used, 110296.4 buff/cache
MiB Mem : 128530.7 total,   2777.3 free,  15456.9 used, 110296.5 buff/cache
MiB Mem : 128530.7 total,   2777.3 free,  15456.9 used, 110296.5 buff/cache
MiB Mem : 128530.7 total,   2777.3 free,  15456.9 used, 110296.5 buff/cache
MiB Mem : 128530.7 total,   2757.0 free,  15472.3 used, 110301.4 buff/cache
MiB Mem : 128530.7 total,   2757.0 free,  15472.3 used, 110301.4 buff/cache
MiB Mem : 128530.7 total,   2757.0 free,  15472.3 used, 110301.4 buff/cache
MiB Mem : 128530.7 total,   2739.1 free,  15489.8 used, 110301.9 buff/cache
MiB Mem : 128530.7 total,   2739.1 free,  15489.8 used, 110301.9 buff/cache
MiB Mem : 128530.7 total,   2739.1 free,  15489.8 used, 110301.9 buff/cache
MiB Mem : 128530.7 total,   2783.2 free,  15445.1 used, 110302.4 buff/cache
MiB Mem : 128530.7 total,   2783.2 free,  15445.1 used, 110302.4 buff/cache
MiB Mem : 128530.7 total,   2783.2 free,  15445.1 used, 110302.4 buff/cache
MiB Mem : 128530.7 total,   2717.6 free,  15510.7 used, 110302.5 buff/cache
MiB Mem : 128530.7 total,   2717.6 free,  15510.7 used, 110302.5 buff/cache
MiB Mem : 128530.7 total,   2717.6 free,  15510.7 used, 110302.5 buff/cache
MiB Mem : 128530.7 total,   2741.2 free,  15487.0 used, 110302.6 buff/cache
MiB Mem : 128530.7 total,   2741.2 free,  15487.0 used, 110302.6 buff/cache
MiB Mem : 128530.7 total,   2741.2 free,  15487.0 used, 110302.6 buff/cache
MiB Mem : 128530.7 total,   2715.6 free,  15512.5 used, 110302.6 buff/cache
MiB Mem : 128530.7 total,   2715.6 free,  15512.5 used, 110302.6 buff/cache
MiB Mem : 128530.7 total,   2715.6 free,  15512.5 used, 110302.6 buff/cache
MiB Mem : 128530.7 total,   2707.9 free,  15519.7 used, 110303.2 buff/cache
MiB Mem : 128530.7 total,   2707.9 free,  15519.7 used, 110303.2 buff/cache
MiB Mem : 128530.7 total,   2707.9 free,  15519.7 used, 110303.2 buff/cache
MiB Mem : 128530.7 total,   2732.4 free,  15495.2 used, 110303.2 buff/cache
MiB Mem : 128530.7 total,   2732.4 free,  15495.2 used, 110303.2 buff/cache
MiB Mem : 128530.7 total,   2732.4 free,  15495.2 used, 110303.2 buff/cache
MiB Mem : 128530.7 total,   2695.7 free,  15531.8 used, 110303.2 buff/cache
MiB Mem : 128530.7 total,   2695.7 free,  15531.8 used, 110303.2 buff/cache
MiB Mem : 128530.7 total,   2695.7 free,  15531.8 used, 110303.2 buff/cache
