timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], temperature.gpu
2025/12/16 15:43:51.944, 0, 0 %, 0 %, 5022 MiB, 16.45 W, 47
2025/12/16 15:43:51.945, 1, 0 %, 0 %, 5086 MiB, 15.70 W, 40
2025/12/16 15:43:52.946, 0, 42 %, 38 %, 5022 MiB, 102.93 W, 54
2025/12/16 15:43:52.946, 1, 45 %, 42 %, 5086 MiB, 106.82 W, 48
2025/12/16 15:43:53.947, 0, 43 %, 39 %, 5022 MiB, 190.79 W, 56
2025/12/16 15:43:53.948, 1, 46 %, 42 %, 5086 MiB, 194.96 W, 49
2025/12/16 15:43:54.948, 0, 44 %, 38 %, 5022 MiB, 193.02 W, 57
2025/12/16 15:43:54.949, 1, 46 %, 41 %, 5086 MiB, 194.41 W, 50
2025/12/16 15:43:55.949, 0, 43 %, 37 %, 5022 MiB, 194.19 W, 57
2025/12/16 15:43:55.950, 1, 45 %, 40 %, 5086 MiB, 194.72 W, 51
2025/12/16 15:43:56.950, 0, 43 %, 39 %, 5022 MiB, 193.72 W, 58
2025/12/16 15:43:56.951, 1, 45 %, 42 %, 5086 MiB, 195.17 W, 51
2025/12/16 15:43:57.952, 0, 43 %, 39 %, 5022 MiB, 194.18 W, 58
2025/12/16 15:43:57.953, 1, 46 %, 42 %, 5086 MiB, 196.29 W, 52
2025/12/16 15:43:58.953, 0, 42 %, 37 %, 5022 MiB, 193.76 W, 59
2025/12/16 15:43:58.954, 1, 45 %, 40 %, 5086 MiB, 195.56 W, 52
2025/12/16 15:43:59.955, 0, 43 %, 39 %, 5022 MiB, 193.79 W, 59
2025/12/16 15:43:59.956, 1, 46 %, 42 %, 5086 MiB, 196.06 W, 52
2025/12/16 15:44:00.956, 0, 43 %, 39 %, 5022 MiB, 195.72 W, 59
2025/12/16 15:44:00.957, 1, 46 %, 42 %, 5086 MiB, 197.20 W, 53
2025/12/16 15:44:01.958, 0, 44 %, 38 %, 5022 MiB, 196.71 W, 60
2025/12/16 15:44:01.959, 1, 46 %, 41 %, 5086 MiB, 198.61 W, 53
2025/12/16 15:44:02.959, 0, 44 %, 37 %, 5022 MiB, 197.67 W, 60
2025/12/16 15:44:02.960, 1, 46 %, 40 %, 5086 MiB, 198.73 W, 54
2025/12/16 15:44:03.960, 0, 42 %, 38 %, 5022 MiB, 196.29 W, 60
2025/12/16 15:44:03.961, 1, 45 %, 42 %, 5086 MiB, 196.82 W, 54
2025/12/16 15:44:04.961, 0, 43 %, 39 %, 5022 MiB, 196.48 W, 61
2025/12/16 15:44:04.962, 1, 46 %, 42 %, 5086 MiB, 196.93 W, 54
2025/12/16 15:44:05.962, 0, 44 %, 39 %, 5022 MiB, 197.21 W, 61
2025/12/16 15:44:05.963, 1, 46 %, 42 %, 5086 MiB, 198.57 W, 55
2025/12/16 15:44:06.964, 0, 43 %, 37 %, 5022 MiB, 198.89 W, 61
2025/12/16 15:44:06.964, 1, 46 %, 41 %, 5086 MiB, 198.95 W, 55
2025/12/16 15:44:07.965, 0, 43 %, 39 %, 5024 MiB, 195.61 W, 61
2025/12/16 15:44:07.965, 1, 45 %, 42 %, 5088 MiB, 196.37 W, 55
2025/12/16 15:44:08.966, 0, 42 %, 38 %, 5024 MiB, 195.32 W, 62
2025/12/16 15:44:08.967, 1, 45 %, 41 %, 5088 MiB, 197.15 W, 55
2025/12/16 15:44:09.967, 0, 43 %, 38 %, 5024 MiB, 197.04 W, 62
2025/12/16 15:44:09.968, 1, 45 %, 41 %, 5088 MiB, 198.07 W, 56
2025/12/16 15:44:10.969, 0, 39 %, 35 %, 5024 MiB, 195.83 W, 62
2025/12/16 15:44:10.970, 1, 45 %, 42 %, 5088 MiB, 195.32 W, 56
2025/12/16 15:44:11.970, 0, 43 %, 39 %, 5024 MiB, 197.44 W, 62
2025/12/16 15:44:11.971, 1, 45 %, 42 %, 5088 MiB, 197.80 W, 56
2025/12/16 15:44:12.972, 0, 44 %, 38 %, 5024 MiB, 198.74 W, 63
2025/12/16 15:44:12.975, 1, 45 %, 41 %, 5088 MiB, 200.03 W, 57
2025/12/16 15:44:13.976, 0, 44 %, 40 %, 5024 MiB, 198.66 W, 63
2025/12/16 15:44:13.977, 1, 45 %, 43 %, 5088 MiB, 199.68 W, 56
2025/12/16 15:44:14.978, 0, 44 %, 39 %, 5024 MiB, 198.99 W, 63
2025/12/16 15:44:14.978, 1, 45 %, 42 %, 5088 MiB, 198.60 W, 57
2025/12/16 15:44:15.979, 0, 44 %, 39 %, 5024 MiB, 199.52 W, 63
2025/12/16 15:44:15.979, 1, 45 %, 41 %, 5088 MiB, 200.49 W, 57
2025/12/16 15:44:16.980, 0, 44 %, 37 %, 5024 MiB, 200.33 W, 64
2025/12/16 15:44:16.980, 1, 46 %, 41 %, 5088 MiB, 201.09 W, 57
2025/12/16 15:44:17.981, 0, 43 %, 39 %, 5024 MiB, 198.87 W, 64
2025/12/16 15:44:17.981, 1, 44 %, 41 %, 5088 MiB, 198.36 W, 57
2025/12/16 15:44:18.982, 0, 43 %, 39 %, 5024 MiB, 198.84 W, 64
2025/12/16 15:44:18.983, 1, 46 %, 42 %, 5088 MiB, 199.58 W, 58
2025/12/16 15:44:19.983, 0, 44 %, 39 %, 5024 MiB, 200.18 W, 64
2025/12/16 15:44:19.984, 1, 46 %, 42 %, 5088 MiB, 199.52 W, 58
2025/12/16 15:44:20.984, 0, 44 %, 38 %, 5024 MiB, 199.75 W, 65
2025/12/16 15:44:20.985, 1, 45 %, 40 %, 5088 MiB, 199.35 W, 58
2025/12/16 15:44:21.986, 0, 44 %, 40 %, 5024 MiB, 198.18 W, 65
2025/12/16 15:44:21.986, 1, 46 %, 42 %, 5088 MiB, 198.55 W, 58
2025/12/16 15:44:22.987, 0, 44 %, 39 %, 5024 MiB, 200.75 W, 65
2025/12/16 15:44:22.988, 1, 46 %, 42 %, 5088 MiB, 199.32 W, 58
2025/12/16 15:44:23.989, 0, 45 %, 39 %, 5024 MiB, 200.91 W, 65
2025/12/16 15:44:23.989, 1, 46 %, 41 %, 5088 MiB, 199.81 W, 59
2025/12/16 15:44:24.990, 0, 41 %, 37 %, 5024 MiB, 198.37 W, 65
2025/12/16 15:44:24.991, 1, 45 %, 42 %, 5088 MiB, 197.13 W, 58
2025/12/16 15:44:25.991, 0, 43 %, 38 %, 5024 MiB, 197.07 W, 65
2025/12/16 15:44:25.992, 1, 44 %, 40 %, 5088 MiB, 198.95 W, 59
2025/12/16 15:44:26.993, 0, 43 %, 37 %, 5024 MiB, 199.14 W, 66
2025/12/16 15:44:26.993, 1, 45 %, 40 %, 5088 MiB, 198.20 W, 59
2025/12/16 15:44:27.994, 0, 43 %, 39 %, 5024 MiB, 198.86 W, 66
2025/12/16 15:44:27.995, 1, 45 %, 42 %, 5088 MiB, 198.28 W, 59
2025/12/16 15:44:28.995, 0, 42 %, 38 %, 5024 MiB, 199.15 W, 66
2025/12/16 15:44:28.996, 1, 46 %, 42 %, 5088 MiB, 199.83 W, 59
2025/12/16 15:44:29.996, 0, 43 %, 37 %, 5024 MiB, 199.97 W, 66
2025/12/16 15:44:29.997, 1, 45 %, 40 %, 5088 MiB, 199.21 W, 59
2025/12/16 15:44:30.997, 0, 43 %, 39 %, 5024 MiB, 199.22 W, 66
2025/12/16 15:44:30.998, 1, 45 %, 42 %, 5088 MiB, 197.83 W, 60
2025/12/16 15:44:31.998, 0, 44 %, 39 %, 5024 MiB, 201.95 W, 67
2025/12/16 15:44:31.999, 1, 46 %, 42 %, 5088 MiB, 199.26 W, 60
