MiB Mem : 128530.7 total,   4233.1 free,  14051.5 used, 110246.1 buff/cache
MiB Mem : 128530.7 total,   4233.1 free,  14051.5 used, 110246.1 buff/cache
MiB Mem : 128530.7 total,   4233.1 free,  14051.5 used, 110246.1 buff/cache
MiB Mem : 128530.7 total,   3527.6 free,  14681.0 used, 110322.2 buff/cache
MiB Mem : 128530.7 total,   3527.6 free,  14681.0 used, 110322.2 buff/cache
MiB Mem : 128530.7 total,   3527.6 free,  14681.0 used, 110322.2 buff/cache
MiB Mem : 128530.7 total,   3527.0 free,  14681.5 used, 110322.2 buff/cache
MiB Mem : 128530.7 total,   3527.0 free,  14681.5 used, 110322.2 buff/cache
MiB Mem : 128530.7 total,   3527.0 free,  14681.5 used, 110322.2 buff/cache
MiB Mem : 128530.7 total,   3532.3 free,  14676.2 used, 110322.2 buff/cache
MiB Mem : 128530.7 total,   3532.3 free,  14676.2 used, 110322.2 buff/cache
MiB Mem : 128530.7 total,   3532.3 free,  14676.2 used, 110322.2 buff/cache
MiB Mem : 128530.7 total,   3503.2 free,  14705.3 used, 110322.2 buff/cache
MiB Mem : 128530.7 total,   3503.2 free,  14705.3 used, 110322.2 buff/cache
MiB Mem : 128530.7 total,   3503.2 free,  14705.3 used, 110322.2 buff/cache
MiB Mem : 128530.7 total,   3509.2 free,  14699.3 used, 110322.2 buff/cache
MiB Mem : 128530.7 total,   3509.2 free,  14699.3 used, 110322.2 buff/cache
MiB Mem : 128530.7 total,   3509.2 free,  14699.3 used, 110322.2 buff/cache
MiB Mem : 128530.7 total,   3482.0 free,  14726.4 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   3482.0 free,  14726.4 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   3482.0 free,  14726.4 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   3474.3 free,  14734.1 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   3474.3 free,  14734.1 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   3474.3 free,  14734.1 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   3490.9 free,  14717.6 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   3490.9 free,  14717.6 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   3490.9 free,  14717.6 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   3464.5 free,  14743.9 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   3464.5 free,  14743.9 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   3464.5 free,  14743.9 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   3467.9 free,  14740.5 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   3467.9 free,  14740.5 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   3467.9 free,  14740.5 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   3463.6 free,  14744.8 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   3463.6 free,  14744.8 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   3463.6 free,  14744.8 used, 110322.3 buff/cache
MiB Mem : 128530.7 total,   3452.2 free,  14756.2 used, 110322.4 buff/cache
MiB Mem : 128530.7 total,   3452.2 free,  14756.2 used, 110322.4 buff/cache
MiB Mem : 128530.7 total,   3452.2 free,  14756.2 used, 110322.4 buff/cache
MiB Mem : 128530.7 total,   3447.9 free,  14760.5 used, 110322.4 buff/cache
MiB Mem : 128530.7 total,   3447.9 free,  14760.5 used, 110322.4 buff/cache
MiB Mem : 128530.7 total,   3447.9 free,  14760.5 used, 110322.4 buff/cache
MiB Mem : 128530.7 total,   3462.4 free,  14745.9 used, 110322.4 buff/cache
MiB Mem : 128530.7 total,   3462.4 free,  14745.9 used, 110322.4 buff/cache
MiB Mem : 128530.7 total,   3462.4 free,  14745.9 used, 110322.4 buff/cache
MiB Mem : 128530.7 total,   3469.6 free,  14738.7 used, 110322.4 buff/cache
MiB Mem : 128530.7 total,   3469.6 free,  14738.7 used, 110322.4 buff/cache
MiB Mem : 128530.7 total,   3469.6 free,  14738.7 used, 110322.4 buff/cache
MiB Mem : 128530.7 total,   3445.0 free,  14763.3 used, 110322.4 buff/cache
MiB Mem : 128530.7 total,   3445.0 free,  14763.3 used, 110322.4 buff/cache
MiB Mem : 128530.7 total,   3436.8 free,  14771.4 used, 110322.5 buff/cache
MiB Mem : 128530.7 total,   3436.8 free,  14771.4 used, 110322.5 buff/cache
MiB Mem : 128530.7 total,   3436.8 free,  14771.4 used, 110322.5 buff/cache
MiB Mem : 128530.7 total,   3458.1 free,  14750.1 used, 110322.5 buff/cache
MiB Mem : 128530.7 total,   3458.1 free,  14750.1 used, 110322.5 buff/cache
MiB Mem : 128530.7 total,   3458.1 free,  14750.1 used, 110322.5 buff/cache
MiB Mem : 128530.7 total,   3445.8 free,  14762.5 used, 110322.5 buff/cache
MiB Mem : 128530.7 total,   3445.8 free,  14762.5 used, 110322.5 buff/cache
MiB Mem : 128530.7 total,   3445.8 free,  14762.5 used, 110322.5 buff/cache
MiB Mem : 128530.7 total,   3454.8 free,  14753.4 used, 110322.5 buff/cache
MiB Mem : 128530.7 total,   3454.8 free,  14753.4 used, 110322.5 buff/cache
MiB Mem : 128530.7 total,   3454.8 free,  14753.4 used, 110322.5 buff/cache
MiB Mem : 128530.7 total,   3449.3 free,  14758.9 used, 110322.5 buff/cache
MiB Mem : 128530.7 total,   3449.3 free,  14758.9 used, 110322.5 buff/cache
MiB Mem : 128530.7 total,   3449.3 free,  14758.9 used, 110322.5 buff/cache
MiB Mem : 128530.7 total,   3436.2 free,  14772.0 used, 110322.5 buff/cache
MiB Mem : 128530.7 total,   3436.2 free,  14772.0 used, 110322.5 buff/cache
MiB Mem : 128530.7 total,   3436.2 free,  14772.0 used, 110322.5 buff/cache
MiB Mem : 128530.7 total,   3432.0 free,  14776.1 used, 110322.6 buff/cache
MiB Mem : 128530.7 total,   3432.0 free,  14776.1 used, 110322.6 buff/cache
MiB Mem : 128530.7 total,   3432.0 free,  14776.1 used, 110322.6 buff/cache
MiB Mem : 128530.7 total,   3447.6 free,  14760.5 used, 110322.6 buff/cache
MiB Mem : 128530.7 total,   3447.6 free,  14760.5 used, 110322.6 buff/cache
MiB Mem : 128530.7 total,   3447.6 free,  14760.5 used, 110322.6 buff/cache
MiB Mem : 128530.7 total,   3452.5 free,  14755.7 used, 110322.6 buff/cache
MiB Mem : 128530.7 total,   3452.5 free,  14755.7 used, 110322.6 buff/cache
