"Time","GPU Temperature"
2025-12-15 12:31:00,45.7 °C
2025-12-15 12:31:30,45.7 °C
2025-12-15 12:32:00,49.7 °C
2025-12-15 12:32:30,51.8 °C
2025-12-15 12:33:00,53.3 °C
2025-12-15 12:33:30,54.7 °C
2025-12-15 12:34:00,55.5 °C
2025-12-15 12:34:30,56.8 °C
2025-12-15 12:35:00,56.2 °C
2025-12-15 12:35:30,56.2 °C
2025-12-15 12:36:00,56.3 °C
2025-12-15 12:36:30,56.5 °C
2025-12-15 12:37:00,56.8 °C
2025-12-15 12:37:30,57.2 °C
2025-12-15 12:38:00,57.7 °C
2025-12-15 12:38:30,58 °C
2025-12-15 12:39:00,57.7 °C
2025-12-15 12:39:30,57.7 °C
2025-12-15 12:40:00,58.2 °C
