Time;GPU Utilization
15/12/2025 14:34;0%
15/12/2025 14:35;0%
15/12/2025 14:35;22,50%
15/12/2025 14:36;15,80%
15/12/2025 14:36;16%
15/12/2025 14:37;0%
15/12/2025 14:37;0%
15/12/2025 14:38;0%
15/12/2025 14:38;15,50%
15/12/2025 14:39;0%
15/12/2025 14:39;0%
15/12/2025 14:40;29,30%
15/12/2025 14:40;0%
15/12/2025 14:41;0%
15/12/2025 14:41;15,80%
15/12/2025 14:42;15,30%
15/12/2025 14:42;15,70%
15/12/2025 14:43;30,80%
15/12/2025 14:43;30,50%
15/12/2025 14:44;15,80%
15/12/2025 14:44;0%
15/12/2025 14:45;0%
15/12/2025 14:45;14%
15/12/2025 14:46;15,80%
15/12/2025 14:46;15,80%
15/12/2025 14:47;15,80%
15/12/2025 14:47;0%
15/12/2025 14:48;0%
15/12/2025 14:48;0%
15/12/2025 14:49;0%
15/12/2025 14:49;45,20%
15/12/2025 14:50;31,50%
15/12/2025 14:50;46,20%
15/12/2025 14:51;15,50%
15/12/2025 14:51;45,80%
15/12/2025 14:52;15,70%
15/12/2025 14:52;0%
15/12/2025 14:53;0%
15/12/2025 14:53;31,70%
15/12/2025 14:54;3,33%
15/12/2025 14:54;29,70%
15/12/2025 14:55;29,70%
15/12/2025 14:55;45%
15/12/2025 14:56;43,30%
15/12/2025 14:56;0%
15/12/2025 14:57;23,20%
15/12/2025 14:57;31,80%
15/12/2025 14:58;0%
15/12/2025 14:58;0%
15/12/2025 14:59;0%
15/12/2025 14:59;18,20%
15/12/2025 15:00;0%
15/12/2025 15:00;31,70%
15/12/2025 15:01;0%
15/12/2025 15:01;0%
15/12/2025 15:02;14,70%
15/12/2025 15:02;7,17%
15/12/2025 15:03;30%
15/12/2025 15:03;46,20%
15/12/2025 15:04;23%
15/12/2025 15:04;15,70%
15/12/2025 15:05;27,30%
15/12/2025 15:05;28,20%
15/12/2025 15:06;0%
15/12/2025 15:06;21,80%
15/12/2025 15:07;31,80%
15/12/2025 15:07;45,50%
15/12/2025 15:08;30,20%
15/12/2025 15:08;0%
15/12/2025 15:09;15,80%
15/12/2025 15:09;15,80%
15/12/2025 15:10;45,20%
15/12/2025 15:10;31,80%
15/12/2025 15:11;29,70%
15/12/2025 15:11;13,80%
15/12/2025 15:12;15,70%
15/12/2025 15:12;30%
15/12/2025 15:13;31,50%
15/12/2025 15:13;11%
15/12/2025 15:14;0%
15/12/2025 15:14;31,20%
15/12/2025 15:15;15,80%
15/12/2025 15:15;29,30%
15/12/2025 15:16;18,30%
15/12/2025 15:16;31%
15/12/2025 15:17;0%
15/12/2025 15:17;0%
15/12/2025 15:18;0%
15/12/2025 15:18;13,80%
15/12/2025 15:19;42,50%
15/12/2025 15:19;0%
15/12/2025 15:20;0%
15/12/2025 15:20;29,80%
15/12/2025 15:21;45,30%
15/12/2025 15:21;33,30%
15/12/2025 15:22;0%
15/12/2025 15:22;29,30%
15/12/2025 15:23;31,50%
15/12/2025 15:23;31,50%
15/12/2025 15:24;15,70%
15/12/2025 15:24;0%
15/12/2025 15:25;29,50%
;17%
