Time;GPU Temperature
15/12/2025 15:31;47.5 °C
15/12/2025 15:31;46.8 °C
15/12/2025 15:32;48.3 °C
15/12/2025 15:32;52.8 °C
15/12/2025 15:33;53.2 °C
15/12/2025 15:33;57.3 °C
15/12/2025 15:34;54.2 °C
15/12/2025 15:34;59.7 °C
15/12/2025 15:35;59.8 °C
15/12/2025 15:35;58.8 °C
15/12/2025 15:36;57.8 °C
15/12/2025 15:36;57.2 °C
15/12/2025 15:37;58.7 °C
15/12/2025 15:37;59.7 °C
15/12/2025 15:38;59.3 °C
15/12/2025 15:38;63.5 °C
15/12/2025 15:39;63.3 °C
15/12/2025 15:39;63.7 °C
15/12/2025 15:40;62.7 °C
15/12/2025 15:40;60.2 °C
15/12/2025 15:41;58.3 °C
15/12/2025 15:41;57.7 °C
15/12/2025 15:42;58.5 °C
15/12/2025 15:42;62.8 °C
15/12/2025 15:43;63.8 °C
15/12/2025 15:43;53.3 °C
15/12/2025 15:44;56.2 °C
15/12/2025 15:44;62.3 °C
15/12/2025 15:45;58.3 °C
15/12/2025 15:45;61.3 °C
15/12/2025 15:46;57.3 °C
15/12/2025 15:46;56.8 °C
15/12/2025 15:47;55.5 °C
15/12/2025 15:47;55.7 °C
15/12/2025 15:48;58.3 °C
15/12/2025 15:48;58.5 °C
15/12/2025 15:49;62.8 °C
15/12/2025 15:49;60.8 °C
15/12/2025 15:50;59.3 °C
15/12/2025 15:50;58.5 °C
15/12/2025 15:51;62.5 °C
15/12/2025 15:51;58.5 °C
15/12/2025 15:52;56.5 °C
15/12/2025 15:52;55.7 °C
15/12/2025 15:53;56.2 °C
15/12/2025 15:53;59.2 °C
15/12/2025 15:54;58.5 °C
15/12/2025 15:54;58.7 °C
15/12/2025 15:55;58.7 °C
15/12/2025 15:55;63.7 °C
15/12/2025 15:56;59.2 °C
15/12/2025 15:56;58.2 °C
15/12/2025 15:57;57.5 °C
15/12/2025 15:57;55 °C
15/12/2025 15:58;61.8 °C
15/12/2025 15:58;62.2 °C
15/12/2025 15:59;58.7 °C
15/12/2025 15:59;59.8 °C
15/12/2025 16:00;60.3 °C
15/12/2025 16:00;59.8 °C
15/12/2025 16:01;58.2 °C
15/12/2025 16:01;62.5 °C
15/12/2025 16:02;58.2 °C
15/12/2025 16:02;59.8 °C
15/12/2025 16:03;61.5 °C
15/12/2025 16:03;58.3 °C
15/12/2025 16:04;55.7 °C
15/12/2025 16:04;55.7 °C
15/12/2025 16:05;63 °C
15/12/2025 16:05;59.2 °C
15/12/2025 16:06;55 °C
15/12/2025 16:06;61.2 °C
15/12/2025 16:07;58.5 °C
15/12/2025 16:07;60.3 °C
15/12/2025 16:08;56.3 °C
15/12/2025 16:08;61.7 °C
15/12/2025 16:09;59 °C
15/12/2025 16:09;60 °C
15/12/2025 16:10;60.2 °C
15/12/2025 16:10;58.5 °C
15/12/2025 16:11;60.2 °C
15/12/2025 16:11;57.7 °C
15/12/2025 16:12;63.2 °C
15/12/2025 16:12;62.8 °C
15/12/2025 16:13;61.3 °C
15/12/2025 16:13;57.8 °C
15/12/2025 16:14;61.2 °C
15/12/2025 16:14;62.5 °C
15/12/2025 16:15;59.2 °C
15/12/2025 16:15;57.7 °C
15/12/2025 16:16;56.7 °C
15/12/2025 16:16;55.2 °C
15/12/2025 16:17;57.2 °C
15/12/2025 16:17;59 °C
15/12/2025 16:18;58.5 °C
15/12/2025 16:18;57.8 °C
15/12/2025 16:19;59.5 °C
15/12/2025 16:19;56.8 °C
15/12/2025 16:20;59.5 °C
15/12/2025 16:20;59.3 °C
15/12/2025 16:21;63.3 °C
15/12/2025 16:21;63.3 °C
15/12/2025 16:22;58.7 °C
