Time;CPU Usage
15/12/2025 12:47;1,40%
15/12/2025 12:47;1,66%
15/12/2025 12:48;1,32%
15/12/2025 12:48;3,70%
15/12/2025 12:49;2,17%
15/12/2025 12:49;2,51%
15/12/2025 12:50;2,28%
15/12/2025 12:50;2,39%
15/12/2025 12:51;1,68%
15/12/2025 12:51;2,25%
15/12/2025 12:52;2,17%
15/12/2025 12:52;2,18%
15/12/2025 12:53;2,44%
15/12/2025 12:53;2,59%
15/12/2025 12:54;2,57%
15/12/2025 12:54;2,58%
15/12/2025 12:55;2,30%
15/12/2025 12:55;2,88%
15/12/2025 12:56;2,31%
15/12/2025 12:56;1,26%
15/12/2025 12:57;3,27%
;2,28%
