Time;GPU Memory Used
15/12/2025 12:47;0%
15/12/2025 12:47;0%
15/12/2025 12:48;5,27%
15/12/2025 12:48;16,00%
15/12/2025 12:49;16,00%
15/12/2025 12:49;16,00%
15/12/2025 12:50;16,00%
15/12/2025 12:50;16,00%
15/12/2025 12:51;16,00%
15/12/2025 12:51;16,00%
15/12/2025 12:52;16,00%
15/12/2025 12:52;16,00%
15/12/2025 12:53;16,00%
15/12/2025 12:53;16,00%
15/12/2025 12:54;16,00%
15/12/2025 12:54;16,00%
15/12/2025 12:55;16,00%
15/12/2025 12:55;16,00%
15/12/2025 12:56;16,00%
15/12/2025 12:56;16,00%
15/12/2025 12:57;16,00%
;14%
