Time;Memory Usage
15/12/2025 12:47;8,61%
15/12/2025 12:47;8,40%
15/12/2025 12:48;9,31%
15/12/2025 12:48;9,24%
15/12/2025 12:49;9,86%
15/12/2025 12:49;9,34%
15/12/2025 12:50;9,39%
15/12/2025 12:50;9,98%
15/12/2025 12:51;9,39%
15/12/2025 12:51;9,37%
15/12/2025 12:52;9,40%
15/12/2025 12:52;9,41%
15/12/2025 12:53;9,47%
15/12/2025 12:53;7,86%
15/12/2025 12:54;9,48%
15/12/2025 12:54;7,88%
15/12/2025 12:55;9,48%
15/12/2025 12:55;9,54%
15/12/2025 12:56;9,52%
15/12/2025 12:56;9,61%
15/12/2025 12:57;9,63%
;9,25%
