Time;CPU Usage
15/12/2025 18:35;1,84%
15/12/2025 18:35;1,84%
15/12/2025 18:36;2,40%
15/12/2025 18:36;2,32%
15/12/2025 18:37;2,44%
15/12/2025 18:37;2,20%
15/12/2025 18:38;2,44%
15/12/2025 18:38;2,22%
15/12/2025 18:39;2,31%
15/12/2025 18:39;2,36%
15/12/2025 18:40;2,38%
15/12/2025 18:40;2,13%
15/12/2025 18:41;2,43%
15/12/2025 18:41;2,05%
15/12/2025 18:42;2,27%
15/12/2025 18:42;2,12%
15/12/2025 18:43;2,49%
15/12/2025 18:43;2,25%
15/12/2025 18:44;2,32%
15/12/2025 18:44;2,42%
15/12/2025 18:45;2,46%
15/12/2025 18:45;2,25%
15/12/2025 18:46;2,30%
15/12/2025 18:46;2,28%
15/12/2025 18:47;2,36%
15/12/2025 18:47;2,35%
15/12/2025 18:48;2,43%
15/12/2025 18:48;2,30%
15/12/2025 18:49;2,30%
15/12/2025 18:49;2,21%
15/12/2025 18:50;2,31%
15/12/2025 18:50;2,36%
15/12/2025 18:51;2,35%
15/12/2025 18:51;2,13%
15/12/2025 18:52;2,36%
15/12/2025 18:52;2,19%
15/12/2025 18:53;2,51%
15/12/2025 18:53;2,13%
15/12/2025 18:54;2,43%
15/12/2025 18:54;2,30%
15/12/2025 18:55;2,30%
15/12/2025 18:55;2,27%
15/12/2025 18:56;2,24%
15/12/2025 18:56;2,19%
15/12/2025 18:57;2,48%
15/12/2025 18:57;2,23%
15/12/2025 18:58;2,40%
15/12/2025 18:58;2,25%
15/12/2025 18:59;2,40%
15/12/2025 18:59;2,16%
15/12/2025 19:00;2,44%
15/12/2025 19:00;2,14%
15/12/2025 19:01;2,53%
15/12/2025 19:01;2,18%
15/12/2025 19:02;2,39%
15/12/2025 19:02;2,21%
;2,29%
