Time;CPU Usage
29/12/2025 16:01;1,38%
29/12/2025 16:01;1,79%
29/12/2025 16:02;1,55%
29/12/2025 16:02;2,12%
29/12/2025 16:03;1,92%
29/12/2025 16:03;2,08%
29/12/2025 16:04;2,02%
29/12/2025 16:04;2,09%
29/12/2025 16:05;2,04%
29/12/2025 16:05;2,06%
29/12/2025 16:06;1,99%
29/12/2025 16:06;2,24%
29/12/2025 16:07;2,03%
29/12/2025 16:07;2,10%
29/12/2025 16:08;1,95%
29/12/2025 16:08;2,08%
29/12/2025 16:09;1,96%
29/12/2025 16:09;2,15%
29/12/2025 16:10;2,00%
29/12/2025 16:10;2,14%
29/12/2025 16:11;1,88%
29/12/2025 16:11;2,23%
29/12/2025 16:12;2,00%
29/12/2025 16:12;2,10%
29/12/2025 16:13;1,90%
29/12/2025 16:13;2,05%
29/12/2025 16:14;2,13%
29/12/2025 16:14;2,18%
29/12/2025 16:15;1,98%
29/12/2025 16:15;2,03%
29/12/2025 16:16;1,97%
29/12/2025 16:16;1,99%
29/12/2025 16:17;2,02%
29/12/2025 16:17;2,09%
29/12/2025 16:18;1,98%
29/12/2025 16:18;1,99%
29/12/2025 16:19;1,97%
29/12/2025 16:19;2,11%
29/12/2025 16:20;2,04%
29/12/2025 16:20;2,00%
29/12/2025 16:21;2,08%
29/12/2025 16:21;2,07%
29/12/2025 16:22;1,99%
29/12/2025 16:22;2,10%
29/12/2025 16:23;2,03%
29/12/2025 16:23;2,07%
29/12/2025 16:24;2,01%
29/12/2025 16:24;2,15%
29/12/2025 16:25;2,07%
29/12/2025 16:25;2,12%
29/12/2025 16:26;1,94%
29/12/2025 16:26;2,07%
29/12/2025 16:27;2,06%
29/12/2025 16:27;2,14%
29/12/2025 16:28;2,05%
29/12/2025 16:28;2,06%
29/12/2025 16:29;1,85%
29/12/2025 16:29;2,09%
29/12/2025 16:30;2,13%
29/12/2025 16:30;2,14%
29/12/2025 16:31;1,98%
29/12/2025 16:31;2,19%
29/12/2025 16:32;1,93%
29/12/2025 16:32;2,16%
29/12/2025 16:33;2,01%
29/12/2025 16:33;2,11%
29/12/2025 16:34;2,09%
29/12/2025 16:34;2,06%
29/12/2025 16:35;2,03%
29/12/2025 16:35;2,11%
29/12/2025 16:36;2,09%
29/12/2025 16:36;2,07%
29/12/2025 16:37;2,08%
29/12/2025 16:37;2,10%
29/12/2025 16:38;2,07%
29/12/2025 16:38;2,02%
;2,03%
