"Time","GPU cn2 0"
2025-12-29 16:01:00,0%
2025-12-29 16:01:30,0%
2025-12-29 16:02:00,0%
2025-12-29 16:02:30,0%
2025-12-29 16:03:00,0%
2025-12-29 16:03:30,0%
2025-12-29 16:04:00,0%
2025-12-29 16:04:30,0%
2025-12-29 16:05:00,0%
2025-12-29 16:05:30,0%
2025-12-29 16:06:00,0%
2025-12-29 16:06:30,0%
2025-12-29 16:07:00,0%
2025-12-29 16:07:30,0%
2025-12-29 16:08:00,0%
2025-12-29 16:08:30,0%
2025-12-29 16:09:00,0%
2025-12-29 16:09:30,0%
2025-12-29 16:10:00,0%
2025-12-29 16:10:30,0%
2025-12-29 16:11:00,0%
2025-12-29 16:11:30,0%
2025-12-29 16:12:00,0%
2025-12-29 16:12:30,0%
2025-12-29 16:13:00,0%
2025-12-29 16:13:30,0%
2025-12-29 16:14:00,0%
2025-12-29 16:14:30,0%
2025-12-29 16:15:00,0%
2025-12-29 16:15:30,0%
2025-12-29 16:16:00,0%
2025-12-29 16:16:30,0%
2025-12-29 16:17:00,0%
2025-12-29 16:17:30,0%
2025-12-29 16:18:00,0%
2025-12-29 16:18:30,0%
2025-12-29 16:19:00,0%
2025-12-29 16:19:30,0%
2025-12-29 16:20:00,0%
2025-12-29 16:20:30,0%
2025-12-29 16:21:00,0%
2025-12-29 16:21:30,0%
2025-12-29 16:22:00,0%
2025-12-29 16:22:30,0%
2025-12-29 16:23:00,0%
2025-12-29 16:23:30,0%
2025-12-29 16:24:00,0%
2025-12-29 16:24:30,0%
2025-12-29 16:25:00,0%
2025-12-29 16:25:30,0%
2025-12-29 16:26:00,0%
2025-12-29 16:26:30,0%
2025-12-29 16:27:00,0%
2025-12-29 16:27:30,0%
2025-12-29 16:28:00,0%
2025-12-29 16:28:30,0%
2025-12-29 16:29:00,0%
2025-12-29 16:29:30,0%
2025-12-29 16:30:00,0%
2025-12-29 16:30:30,0%
2025-12-29 16:31:00,0%
2025-12-29 16:31:30,0%
2025-12-29 16:32:00,0%
2025-12-29 16:32:30,0%
2025-12-29 16:33:00,0%
2025-12-29 16:33:30,0%
2025-12-29 16:34:00,0%
2025-12-29 16:34:30,0%
2025-12-29 16:35:00,0%
2025-12-29 16:35:30,0%
2025-12-29 16:36:00,0%
2025-12-29 16:36:30,0%
2025-12-29 16:37:00,0%
2025-12-29 16:37:30,0%
2025-12-29 16:38:00,0%
2025-12-29 16:38:30,0%
