Time;GPU Memory Used (%)
29/12/2025 16:47;0%
29/12/2025 16:48;0%
29/12/2025 16:48;3,11%
29/12/2025 16:49;3,12%
29/12/2025 16:49;3,12%
29/12/2025 16:50;3,12%
29/12/2025 16:50;3,12%
29/12/2025 16:51;3,12%
29/12/2025 16:51;3,12%
29/12/2025 16:52;3,12%
29/12/2025 16:52;3,12%
29/12/2025 16:53;3,12%
29/12/2025 16:53;3,12%
29/12/2025 16:54;3,12%
29/12/2025 16:54;3,12%
29/12/2025 16:55;3,12%
29/12/2025 16:55;3,12%
29/12/2025 16:56;3,12%
29/12/2025 16:56;3,12%
29/12/2025 16:57;3,12%
29/12/2025 16:57;3,12%
29/12/2025 16:58;3,12%
29/12/2025 16:58;3,12%
29/12/2025 16:59;3,12%
29/12/2025 16:59;3,12%
29/12/2025 17:00;3,12%
29/12/2025 17:00;3,12%
29/12/2025 17:01;3,12%
29/12/2025 17:01;3,12%
29/12/2025 17:02;3,12%
29/12/2025 17:02;3,12%
29/12/2025 17:03;3,12%
29/12/2025 17:03;3,12%
29/12/2025 17:04;3,12%
29/12/2025 17:04;3,12%
29/12/2025 17:05;3,12%
29/12/2025 17:05;3,12%
29/12/2025 17:06;3,12%
29/12/2025 17:06;3,12%
29/12/2025 17:07;3,12%
29/12/2025 17:07;3,12%
29/12/2025 17:08;3,12%
29/12/2025 17:08;3,12%
29/12/2025 17:09;3,12%
29/12/2025 17:09;3,12%
29/12/2025 17:10;3,12%
;3%
