"Time","GPU Temperature"
2025-12-29 16:47:30,43.8 °C
2025-12-29 16:48:00,44 °C
2025-12-29 16:48:30,49.3 °C
2025-12-29 16:49:00,50 °C
2025-12-29 16:49:30,50.5 °C
2025-12-29 16:50:00,51.3 °C
2025-12-29 16:50:30,51.5 °C
2025-12-29 16:51:00,51.8 °C
2025-12-29 16:51:30,52 °C
2025-12-29 16:52:00,51.3 °C
2025-12-29 16:52:30,52.3 °C
2025-12-29 16:53:00,52.5 °C
2025-12-29 16:53:30,52.8 °C
2025-12-29 16:54:00,52.5 °C
2025-12-29 16:54:30,52.8 °C
2025-12-29 16:55:00,52.8 °C
2025-12-29 16:55:30,52 °C
2025-12-29 16:56:00,53 °C
2025-12-29 16:56:30,53 °C
2025-12-29 16:57:00,52.8 °C
2025-12-29 16:57:30,53 °C
2025-12-29 16:58:00,53 °C
2025-12-29 16:58:30,53 °C
2025-12-29 16:59:00,53 °C
2025-12-29 16:59:30,52.8 °C
2025-12-29 17:00:00,53 °C
2025-12-29 17:00:30,52.3 °C
2025-12-29 17:01:00,53 °C
2025-12-29 17:01:30,53.3 °C
2025-12-29 17:02:00,53.3 °C
2025-12-29 17:02:30,53.5 °C
2025-12-29 17:03:00,53 °C
2025-12-29 17:03:30,53.5 °C
2025-12-29 17:04:00,52.8 °C
2025-12-29 17:04:30,52.5 °C
2025-12-29 17:05:00,53 °C
2025-12-29 17:05:30,53.3 °C
2025-12-29 17:06:00,53.8 °C
2025-12-29 17:06:30,53.3 °C
2025-12-29 17:07:00,53.5 °C
2025-12-29 17:07:30,52.5 °C
2025-12-29 17:08:00,53.3 °C
2025-12-29 17:08:30,53.8 °C
2025-12-29 17:09:00,53.5 °C
2025-12-29 17:09:30,52.5 °C
2025-12-29 17:10:00,53.5 °C
