Time;Memory Usage
15/12/2025 21:41;8,91%
15/12/2025 21:41;9,05%
15/12/2025 21:42;9,83%
15/12/2025 21:42;9,85%
15/12/2025 21:43;9,88%
15/12/2025 21:43;9,90%
15/12/2025 21:44;9,92%
15/12/2025 21:44;9,94%
15/12/2025 21:45;9,96%
15/12/2025 21:45;9,98%
15/12/2025 21:46;9,97%
15/12/2025 21:46;9,98%
15/12/2025 21:47;10,00%
15/12/2025 21:47;10,00%
15/12/2025 21:48;10,00%
15/12/2025 21:48;10,00%
15/12/2025 21:49;10,00%
15/12/2025 21:49;10,10%
15/12/2025 21:50;10,10%
15/12/2025 21:50;10,10%
15/12/2025 21:51;10,10%
15/12/2025 21:51;10,10%
15/12/2025 21:52;10,10%
15/12/2025 21:52;10,10%
15/12/2025 21:53;10,10%
15/12/2025 21:53;10,10%
15/12/2025 21:54;10,10%
15/12/2025 21:54;10,10%
15/12/2025 21:55;10,10%
15/12/2025 21:55;10,10%
15/12/2025 21:56;10,10%
15/12/2025 21:56;10,10%
15/12/2025 21:57;10,10%
15/12/2025 21:57;10,10%
15/12/2025 21:58;10,20%
15/12/2025 21:58;10,10%
15/12/2025 21:59;10,20%
15/12/2025 21:59;10,20%
15/12/2025 22:00;10,20%
15/12/2025 22:00;10,20%
15/12/2025 22:01;10,20%
15/12/2025 22:01;10,20%
15/12/2025 22:02;10,20%
15/12/2025 22:02;10,20%
15/12/2025 22:03;10,20%
15/12/2025 22:03;10,20%
15/12/2025 22:04;10,20%
15/12/2025 22:04;10,20%
15/12/2025 22:05;10,20%
15/12/2025 22:05;10,20%
15/12/2025 22:06;10,20%
15/12/2025 22:06;10,20%
15/12/2025 22:07;10,20%
15/12/2025 22:07;10,20%
15/12/2025 22:08;10,20%
15/12/2025 22:08;10,20%
15/12/2025 22:09;10,20%
15/12/2025 22:09;10,20%
15/12/2025 22:10;10,20%
15/12/2025 22:10;10,20%
15/12/2025 22:11;10,20%
15/12/2025 22:11;10,20%
15/12/2025 22:12;10,20%
15/12/2025 22:12;10,20%
15/12/2025 22:13;10,20%
15/12/2025 22:13;10,20%
15/12/2025 22:14;10,20%
15/12/2025 22:14;10,20%
15/12/2025 22:15;10,20%
15/12/2025 22:15;10,20%
15/12/2025 22:16;10,20%
15/12/2025 22:16;10,20%
15/12/2025 22:17;10,20%
15/12/2025 22:17;10,20%
15/12/2025 22:18;10,20%
15/12/2025 22:18;10,20%
