Time;GPU Memory Used
16/12/2025 15:01;0%
16/12/2025 15:02;0%
16/12/2025 15:02;30,00%
16/12/2025 15:03;30,00%
16/12/2025 15:03;30,00%
16/12/2025 15:04;30,00%
16/12/2025 15:04;30,00%
16/12/2025 15:05;30,00%
16/12/2025 15:05;30,00%
16/12/2025 15:06;30,00%
16/12/2025 15:06;30,00%
16/12/2025 15:07;30,00%
16/12/2025 15:07;30,00%
16/12/2025 15:08;30,00%
16/12/2025 15:08;30,00%
16/12/2025 15:09;30,00%
16/12/2025 15:09;30,00%
16/12/2025 15:10;30,00%
16/12/2025 15:10;30,00%
16/12/2025 15:11;30,00%
16/12/2025 15:11;30,00%
16/12/2025 15:12;30,00%
16/12/2025 15:12;30,00%
16/12/2025 15:13;30,00%
16/12/2025 15:13;30,00%
16/12/2025 15:14;30,00%
16/12/2025 15:14;30,00%
16/12/2025 15:15;30,00%
16/12/2025 15:15;30,00%
16/12/2025 15:16;30,00%
16/12/2025 15:16;30,00%
16/12/2025 15:17;30,00%
16/12/2025 15:17;30,00%
16/12/2025 15:18;30,00%
16/12/2025 15:18;30,00%
16/12/2025 15:19;30,00%
16/12/2025 15:19;30,00%
16/12/2025 15:20;30,00%
16/12/2025 15:20;30,00%
16/12/2025 15:21;30,00%
16/12/2025 15:21;30,00%
16/12/2025 15:22;30,00%
16/12/2025 15:22;30,00%
16/12/2025 15:23;30,00%
16/12/2025 15:23;30,00%
16/12/2025 15:24;30,00%
16/12/2025 15:24;30,00%
16/12/2025 15:25;30,00%
16/12/2025 15:25;30,00%
16/12/2025 15:26;30,00%
16/12/2025 15:26;30,00%
16/12/2025 15:27;30,00%
16/12/2025 15:27;30,00%
16/12/2025 15:28;30,00%
16/12/2025 15:28;30,00%
16/12/2025 15:29;30,00%
16/12/2025 15:29;30,00%
16/12/2025 15:30;30,00%
16/12/2025 15:30;30,00%
16/12/2025 15:31;30,00%
16/12/2025 15:31;30,00%
16/12/2025 15:32;30,00%
16/12/2025 15:32;30,00%
16/12/2025 15:33;30,00%
16/12/2025 15:33;30,00%
16/12/2025 15:34;30,00%
16/12/2025 15:34;30,00%
16/12/2025 15:35;30,00%
16/12/2025 15:35;30,00%
16/12/2025 15:36;30,00%
16/12/2025 15:36;30,00%
16/12/2025 15:37;30,00%
16/12/2025 15:37;30,00%
16/12/2025 15:38;30,00%
16/12/2025 15:38;30,00%
16/12/2025 15:39;30,00%
16/12/2025 15:39;30,00%
16/12/2025 15:40;30,00%
16/12/2025 15:40;30,00%
16/12/2025 15:41;30,00%
16/12/2025 15:41;30,00%
16/12/2025 15:42;30,00%
16/12/2025 15:42;30,00%
16/12/2025 15:43;30,00%
16/12/2025 15:43;30,00%
16/12/2025 15:44;30,00%
16/12/2025 15:44;30,00%
16/12/2025 15:45;30,00%
16/12/2025 15:45;30,00%
16/12/2025 15:46;30,00%
16/12/2025 15:46;30,00%
16/12/2025 15:47;30,00%
16/12/2025 15:47;30,00%
16/12/2025 15:48;30,00%
16/12/2025 15:48;30,00%
16/12/2025 15:49;30,00%
16/12/2025 15:49;30,00%
16/12/2025 15:50;30,00%
16/12/2025 15:50;30,00%
