Time;GPU Memory Used (%)
17/12/2025 15:08;0%
17/12/2025 15:09;0%
17/12/2025 15:09;5,49%
17/12/2025 15:10;15,80%
17/12/2025 15:10;15,80%
17/12/2025 15:11;15,80%
17/12/2025 15:11;15,80%
17/12/2025 15:12;15,80%
17/12/2025 15:12;15,80%
17/12/2025 15:13;15,80%
17/12/2025 15:13;15,80%
17/12/2025 15:14;15,80%
17/12/2025 15:14;15,80%
17/12/2025 15:15;15,80%
17/12/2025 15:15;15,80%
17/12/2025 15:16;15,80%
17/12/2025 15:16;15,80%
17/12/2025 15:17;15,80%
17/12/2025 15:17;15,80%
17/12/2025 15:18;15,80%
17/12/2025 15:18;15,80%
17/12/2025 15:19;15,80%
17/12/2025 15:19;15,80%
17/12/2025 15:20;15,80%
17/12/2025 15:20;15,80%
17/12/2025 15:21;15,80%
17/12/2025 15:21;15,80%
17/12/2025 15:22;15,80%
17/12/2025 15:22;15,80%
17/12/2025 15:23;15,80%
17/12/2025 15:23;15,80%
17/12/2025 15:24;15,80%
17/12/2025 15:24;15,80%
17/12/2025 15:25;15,80%
17/12/2025 15:25;15,80%
17/12/2025 15:26;15,80%
17/12/2025 15:26;15,80%
17/12/2025 15:27;15,80%
17/12/2025 15:27;15,80%
17/12/2025 15:28;15,80%
17/12/2025 15:28;15,80%
17/12/2025 15:29;15,80%
17/12/2025 15:29;15,80%
17/12/2025 15:30;15,80%
17/12/2025 15:30;15,80%
17/12/2025 15:31;15,80%
17/12/2025 15:31;15,80%
17/12/2025 15:32;15,80%
17/12/2025 15:32;15,80%
17/12/2025 15:33;15,80%
17/12/2025 15:33;15,80%
17/12/2025 15:34;15,80%
17/12/2025 15:34;15,80%
17/12/2025 15:35;15,80%
17/12/2025 15:35;15,80%
17/12/2025 15:36;15,80%
17/12/2025 15:36;15,80%
17/12/2025 15:37;15,80%
17/12/2025 15:37;15,80%
17/12/2025 15:38;15,80%
17/12/2025 15:38;15,80%
17/12/2025 15:39;15,80%
17/12/2025 15:39;15,80%
17/12/2025 15:40;15,80%
17/12/2025 15:40;15,80%
17/12/2025 15:41;15,80%
17/12/2025 15:41;15,80%
17/12/2025 15:42;15,80%
17/12/2025 15:42;15,80%
17/12/2025 15:43;15,80%
17/12/2025 15:43;15,80%
17/12/2025 15:44;15,80%
17/12/2025 15:44;15,80%
17/12/2025 15:45;15,80%
17/12/2025 15:45;15,80%
17/12/2025 15:46;15,80%
17/12/2025 15:46;15,80%
17/12/2025 15:47;15,80%
17/12/2025 15:47;15,80%
17/12/2025 15:48;15,80%
17/12/2025 15:48;15,80%
17/12/2025 15:49;15,80%
17/12/2025 15:49;15,80%
17/12/2025 15:50;15,80%
17/12/2025 15:50;15,80%
17/12/2025 15:51;15,80%
17/12/2025 15:51;15,80%
17/12/2025 15:52;15,80%
17/12/2025 15:52;15,80%
17/12/2025 15:53;15,80%
17/12/2025 15:53;15,80%
17/12/2025 15:54;15,80%
17/12/2025 15:54;15,80%
17/12/2025 15:55;15,80%
17/12/2025 15:55;15,80%
17/12/2025 15:56;15,80%
17/12/2025 15:56;15,80%
17/12/2025 15:57;15,80%
17/12/2025 15:57;15,80%
17/12/2025 15:58;15,80%
17/12/2025 15:58;15,80%
17/12/2025 15:59;15,80%
17/12/2025 15:59;15,80%
17/12/2025 16:00;15,80%
;15%
