"Time","GPU Temperature"
2025-12-17 16:23:00,52 °C
2025-12-17 16:23:30,52 °C
2025-12-17 16:24:00,58.8 °C
2025-12-17 16:24:30,76.8 °C
2025-12-17 16:25:00,82.7 °C
2025-12-17 16:25:30,85.3 °C
2025-12-17 16:26:00,86.3 °C
2025-12-17 16:26:30,86.5 °C
2025-12-17 16:27:00,86.3 °C
2025-12-17 16:27:30,86.8 °C
2025-12-17 16:28:00,86.8 °C
2025-12-17 16:28:30,86.7 °C
2025-12-17 16:29:00,87.3 °C
2025-12-17 16:29:30,87 °C
2025-12-17 16:30:00,83.8 °C
2025-12-17 16:30:30,82.7 °C
2025-12-17 16:31:00,82.5 °C
2025-12-17 16:31:30,82 °C
2025-12-17 16:32:00,84.3 °C
2025-12-17 16:32:30,86 °C
2025-12-17 16:33:00,84.2 °C
2025-12-17 16:33:30,82.7 °C
2025-12-17 16:34:00,82.5 °C
2025-12-17 16:34:30,82.3 °C
2025-12-17 16:35:00,82.2 °C
2025-12-17 16:35:30,86.5 °C
2025-12-17 16:36:00,86.3 °C
2025-12-17 16:36:30,83.8 °C
2025-12-17 16:37:00,82.8 °C
2025-12-17 16:37:30,82.2 °C
2025-12-17 16:38:00,82.3 °C
2025-12-17 16:38:30,83 °C
2025-12-17 16:39:00,84.8 °C
2025-12-17 16:39:30,85.8 °C
2025-12-17 16:40:00,84.8 °C
2025-12-17 16:40:30,83.2 °C
2025-12-17 16:41:00,82.5 °C
2025-12-17 16:41:30,82.3 °C
2025-12-17 16:42:00,82.3 °C
2025-12-17 16:42:30,84.7 °C
2025-12-17 16:43:00,85 °C
2025-12-17 16:43:30,83.3 °C
2025-12-17 16:44:00,82.8 °C
2025-12-17 16:44:30,82.5 °C
2025-12-17 16:45:00,82.2 °C
2025-12-17 16:45:30,82.2 °C
2025-12-17 16:46:00,85.2 °C
2025-12-17 16:46:30,83.7 °C
2025-12-17 16:47:00,82.7 °C
2025-12-17 16:47:30,82.3 °C
2025-12-17 16:48:00,82.2 °C
2025-12-17 16:48:30,82.2 °C
2025-12-17 16:49:00,84 °C
2025-12-17 16:49:30,85.7 °C
2025-12-17 16:50:00,83.5 °C
2025-12-17 16:50:30,83 °C
2025-12-17 16:51:00,82 °C
2025-12-17 16:51:30,82.2 °C
2025-12-17 16:52:00,82.3 °C
2025-12-17 16:52:30,82.2 °C
2025-12-17 16:53:00,85.7 °C
2025-12-17 16:53:30,85.2 °C
2025-12-17 16:54:00,83.2 °C
2025-12-17 16:54:30,82.5 °C
2025-12-17 16:55:00,82 °C
2025-12-17 16:55:30,82 °C
2025-12-17 16:56:00,82 °C
2025-12-17 16:56:30,85.5 °C
2025-12-17 16:57:00,86.3 °C
2025-12-17 16:57:30,82.3 °C
2025-12-17 16:58:00,82.3 °C
2025-12-17 16:58:30,81.7 °C
2025-12-17 16:59:00,81.7 °C
2025-12-17 16:59:30,81.3 °C
2025-12-17 17:00:00,81.3 °C
2025-12-17 17:00:30,85 °C
2025-12-17 17:01:00,85.5 °C
2025-12-17 17:01:30,83 °C
2025-12-17 17:02:00,81.8 °C
2025-12-17 17:02:30,81.8 °C
2025-12-17 17:03:00,80.2 °C
2025-12-17 17:03:30,84.2 °C
2025-12-17 17:04:00,86.3 °C
2025-12-17 17:04:30,83.2 °C
2025-12-17 17:05:00,82.7 °C
2025-12-17 17:05:30,82.2 °C
2025-12-17 17:06:00,82.3 °C
2025-12-17 17:06:30,82.2 °C
2025-12-17 17:07:00,84 °C
2025-12-17 17:07:30,86.2 °C
2025-12-17 17:08:00,83 °C
2025-12-17 17:08:30,82.2 °C
2025-12-17 17:09:00,82 °C
2025-12-17 17:09:30,82 °C
2025-12-17 17:10:00,81.8 °C
2025-12-17 17:10:30,85.7 °C
2025-12-17 17:11:00,83.2 °C
2025-12-17 17:11:30,83.3 °C
2025-12-17 17:12:00,82 °C
2025-12-17 17:12:30,82.3 °C
2025-12-17 17:13:00,82 °C
2025-12-17 17:13:30,81.3 °C
2025-12-17 17:14:00,84 °C
2025-12-17 17:14:30,85.2 °C
2025-12-17 17:15:00,80.3 °C
2025-12-17 17:15:30,82 °C
2025-12-17 17:16:00,79.5 °C
2025-12-17 17:16:30,78 °C
2025-12-17 17:17:00,78.2 °C
2025-12-17 17:17:30,81.8 °C
2025-12-17 17:18:00,79.3 °C
2025-12-17 17:18:30,83.5 °C
2025-12-17 17:19:00,78 °C
2025-12-17 17:19:30,80.7 °C
2025-12-17 17:20:00,78.2 °C
2025-12-17 17:20:30,75.5 °C
2025-12-17 17:21:00,78.5 °C
2025-12-17 17:21:30,82 °C
2025-12-17 17:22:00,81.5 °C
2025-12-17 17:22:30,79.7 °C
