Time;Memory Usage
27/12/2025 11:02;5,83%
27/12/2025 11:03;5,83%
27/12/2025 11:03;6,42%
27/12/2025 11:04;6,43%
27/12/2025 11:04;8,22%
27/12/2025 11:05;6,57%
27/12/2025 11:05;6,45%
27/12/2025 11:06;6,48%
27/12/2025 11:06;6,48%
27/12/2025 11:07;6,49%
27/12/2025 11:07;6,50%
27/12/2025 11:08;6,50%
27/12/2025 11:08;4,87%
27/12/2025 11:09;6,54%
27/12/2025 11:09;6,57%
27/12/2025 11:10;6,58%
27/12/2025 11:10;6,55%
27/12/2025 11:11;7,03%
27/12/2025 11:11;6,57%
27/12/2025 11:12;6,57%
27/12/2025 11:12;6,58%
27/12/2025 11:13;6,57%
27/12/2025 11:13;6,55%
27/12/2025 11:14;6,58%
27/12/2025 11:14;6,56%
27/12/2025 11:15;7,82%
27/12/2025 11:15;6,63%
27/12/2025 11:16;6,56%
27/12/2025 11:16;4,86%
27/12/2025 11:17;6,58%
27/12/2025 11:17;7,07%
27/12/2025 11:18;6,57%
27/12/2025 11:18;6,61%
27/12/2025 11:19;6,65%
27/12/2025 11:19;6,67%
27/12/2025 11:20;4,93%
27/12/2025 11:20;6,62%
27/12/2025 11:21;6,61%
27/12/2025 11:21;6,64%
27/12/2025 11:22;6,65%
27/12/2025 11:22;6,65%
27/12/2025 11:23;6,66%
27/12/2025 11:23;6,64%
27/12/2025 11:24;6,66%
27/12/2025 11:24;6,67%
27/12/2025 11:25;6,66%
27/12/2025 11:25;6,65%
27/12/2025 11:26;6,65%
27/12/2025 11:26;6,65%
27/12/2025 11:27;6,66%
27/12/2025 11:27;6,69%
27/12/2025 11:28;6,68%
27/12/2025 11:28;6,68%
27/12/2025 11:29;6,69%
27/12/2025 11:29;6,72%
27/12/2025 11:30;6,69%
27/12/2025 11:30;6,73%
27/12/2025 11:31;6,76%
27/12/2025 11:31;6,73%
27/12/2025 11:32;6,72%
27/12/2025 11:32;6,70%
27/12/2025 11:33;6,72%
27/12/2025 11:33;6,71%
27/12/2025 11:34;6,69%
27/12/2025 11:34;6,71%
27/12/2025 11:35;6,71%
27/12/2025 11:35;6,70%
27/12/2025 11:36;6,70%
27/12/2025 11:36;6,71%
27/12/2025 11:37;6,71%
27/12/2025 11:37;6,72%
27/12/2025 11:38;6,72%
27/12/2025 11:38;6,72%
27/12/2025 11:39;6,74%
27/12/2025 11:39;6,75%
27/12/2025 11:40;6,77%
27/12/2025 11:40;6,73%
27/12/2025 11:41;6,77%
27/12/2025 11:41;6,74%
27/12/2025 11:42;6,78%
27/12/2025 11:42;6,77%
27/12/2025 11:43;6,77%
27/12/2025 11:43;6,77%
27/12/2025 11:44;6,76%
27/12/2025 11:44;6,76%
27/12/2025 11:45;6,72%
27/12/2025 11:45;6,72%
27/12/2025 11:46;6,74%
27/12/2025 11:46;6,73%
27/12/2025 11:47;6,74%
27/12/2025 11:47;6,74%
27/12/2025 11:48;6,75%
27/12/2025 11:48;6,75%
27/12/2025 11:49;6,76%
27/12/2025 11:49;6,78%
27/12/2025 11:50;6,76%
27/12/2025 11:50;6,76%
27/12/2025 11:51;6,73%
27/12/2025 11:51;6,78%
27/12/2025 11:52;6,77%
27/12/2025 11:52;6,75%
27/12/2025 11:53;6,78%
27/12/2025 11:53;6,77%
27/12/2025 11:54;6,74%
27/12/2025 11:54;6,78%
27/12/2025 11:55;6,77%
27/12/2025 11:55;6,76%
27/12/2025 11:56;6,79%
27/12/2025 11:56;6,77%
27/12/2025 11:57;6,77%
27/12/2025 11:57;6,76%
27/12/2025 11:58;6,76%
27/12/2025 11:58;6,77%
27/12/2025 11:59;6,77%
27/12/2025 11:59;6,78%
27/12/2025 12:00;6,73%
27/12/2025 12:00;6,76%
27/12/2025 12:01;6,76%
27/12/2025 12:01;6,74%
27/12/2025 12:02;6,76%
