Time;GPU Utilization
27/12/2025 15:30;0%
27/12/2025 15:31;0%
27/12/2025 15:31;34,30%
27/12/2025 15:32;77,30%
27/12/2025 15:32;78,80%
27/12/2025 15:33;77,80%
27/12/2025 15:33;78%
27/12/2025 15:34;78%
27/12/2025 15:34;75%
27/12/2025 15:35;78,50%
27/12/2025 15:35;81,30%
27/12/2025 15:36;78,50%
27/12/2025 15:36;78,80%
27/12/2025 15:37;78,80%
27/12/2025 15:37;78,50%
27/12/2025 15:38;78,80%
27/12/2025 15:38;77,80%
27/12/2025 15:39;77%
27/12/2025 15:39;78,50%
27/12/2025 15:40;77,50%
27/12/2025 15:40;76%
27/12/2025 15:41;78%
27/12/2025 15:41;76,80%
27/12/2025 15:42;76,80%
27/12/2025 15:42;76%
27/12/2025 15:43;73,50%
27/12/2025 15:43;75,30%
27/12/2025 15:44;71%
27/12/2025 15:44;75,30%
27/12/2025 15:45;75,50%
27/12/2025 15:45;72,30%
27/12/2025 15:46;61,50%
27/12/2025 15:46;71%
27/12/2025 15:47;72,80%
27/12/2025 15:47;74,80%
27/12/2025 15:48;71,30%
27/12/2025 15:48;71,30%
27/12/2025 15:49;69,30%
27/12/2025 15:49;75,50%
27/12/2025 15:50;72,30%
27/12/2025 15:50;70,80%
27/12/2025 15:51;71,30%
27/12/2025 15:51;75,80%
27/12/2025 15:52;60,30%
27/12/2025 15:52;73%
27/12/2025 15:53;65,30%
27/12/2025 15:53;71,80%
27/12/2025 15:54;71%
27/12/2025 15:54;74%
27/12/2025 15:55;64,30%
27/12/2025 15:55;62,80%
27/12/2025 15:56;72%
27/12/2025 15:56;75%
27/12/2025 15:57;73,80%
27/12/2025 15:57;68,30%
27/12/2025 15:58;66%
27/12/2025 15:58;73,30%
27/12/2025 15:59;74%
27/12/2025 15:59;75,30%
27/12/2025 16:00;68,80%
27/12/2025 16:00;62,50%
27/12/2025 16:01;65%
27/12/2025 16:01;68,80%
27/12/2025 16:02;74,50%
