"Time","CPU Usage"
2025-12-17 17:26:00,1.85%
2025-12-17 17:26:30,1.91%
2025-12-17 17:27:00,3.35%
2025-12-17 17:27:30,4.20%
2025-12-17 17:28:00,4.47%
2025-12-17 17:28:30,4.28%
2025-12-17 17:29:00,4.32%
2025-12-17 17:29:30,4.28%
2025-12-17 17:30:00,4.40%
2025-12-17 17:30:30,4.16%
2025-12-17 17:31:00,4.52%
2025-12-17 17:31:30,5.13%
2025-12-17 17:32:00,5.42%
2025-12-17 17:32:30,5.38%
2025-12-17 17:33:00,5.48%
2025-12-17 17:33:30,5.40%
2025-12-17 17:34:00,5.45%
2025-12-17 17:34:30,5.35%
2025-12-17 17:35:00,5.53%
2025-12-17 17:35:30,5.28%
2025-12-17 17:36:00,5.50%
2025-12-17 17:36:30,7.21%
2025-12-17 17:37:00,8.97%
2025-12-17 17:37:30,8.89%
2025-12-17 17:38:00,8.91%
2025-12-17 17:38:30,8.79%
2025-12-17 17:39:00,8.95%
2025-12-17 17:39:30,9.28%
2025-12-17 17:40:00,8.86%
2025-12-17 17:40:30,7.07%
2025-12-17 17:41:00,5.50%
2025-12-17 17:41:30,5.60%
2025-12-17 17:42:00,5.36%
2025-12-17 17:42:30,5.16%
2025-12-17 17:43:00,5.59%
2025-12-17 17:43:30,5.27%
2025-12-17 17:44:00,5.53%
2025-12-17 17:44:30,5.43%
2025-12-17 17:45:00,5.30%
2025-12-17 17:45:30,5.40%
2025-12-17 17:46:00,5.40%
2025-12-17 17:46:30,5.55%
2025-12-17 17:47:00,5.69%
2025-12-17 17:47:30,5.26%
2025-12-17 17:48:00,5.64%
2025-12-17 17:48:30,5.33%
2025-12-17 17:49:00,5.85%
2025-12-17 17:49:30,5.38%
2025-12-17 17:50:00,5.42%
2025-12-17 17:50:30,5.32%
2025-12-17 17:51:00,5.66%
2025-12-17 17:51:30,5.34%
2025-12-17 17:52:00,5.69%
2025-12-17 17:52:30,5.31%
2025-12-17 17:53:00,5.55%
2025-12-17 17:53:30,5.45%
2025-12-17 17:54:00,5.66%
2025-12-17 17:54:30,5.27%
2025-12-17 17:55:00,5.57%
2025-12-17 17:55:30,5.40%
2025-12-17 17:56:00,5.62%
2025-12-17 17:56:30,5.61%
2025-12-17 17:57:00,5.45%
2025-12-17 17:57:30,5.34%
2025-12-17 17:58:00,5.61%
2025-12-17 17:58:30,5.45%
2025-12-17 17:59:00,5.82%
2025-12-17 17:59:30,5.29%
2025-12-17 18:00:00,5.41%
2025-12-17 18:00:30,5.47%
2025-12-17 18:01:00,6.09%
2025-12-17 18:01:30,5.67%
2025-12-17 18:02:00,5.64%
2025-12-17 18:02:30,5.49%
2025-12-17 18:03:00,5.52%
2025-12-17 18:03:30,5.48%
2025-12-17 18:04:00,5.55%
2025-12-17 18:04:30,5.51%
2025-12-17 18:05:00,5.90%
2025-12-17 18:05:30,5.26%
2025-12-17 18:06:00,5.49%
2025-12-17 18:06:30,5.47%
2025-12-17 18:07:00,5.66%
2025-12-17 18:07:30,5.35%
2025-12-17 18:08:00,5.64%
2025-12-17 18:08:30,5.35%
2025-12-17 18:09:00,5.48%
2025-12-17 18:09:30,5.32%
2025-12-17 18:10:00,5.55%
2025-12-17 18:10:30,5.26%
2025-12-17 18:11:00,5.46%
2025-12-17 18:11:30,5.45%
2025-12-17 18:12:00,5.57%
2025-12-17 18:12:30,5.37%
2025-12-17 18:13:00,5.59%
2025-12-17 18:13:30,5.23%
2025-12-17 18:14:00,5.47%
2025-12-17 18:14:30,5.27%
2025-12-17 18:15:00,5.57%
2025-12-17 18:15:30,5.25%
2025-12-17 18:16:00,5.49%
2025-12-17 18:16:30,5.26%
2025-12-17 18:17:00,5.51%
2025-12-17 18:17:30,5.37%
2025-12-17 18:18:00,5.43%
2025-12-17 18:18:30,5.08%
2025-12-17 18:19:00,5.17%
2025-12-17 18:19:30,5.18%
2025-12-17 18:20:00,5.33%
2025-12-17 18:20:30,4.88%
2025-12-17 18:21:00,5.13%
2025-12-17 18:21:30,5.24%
2025-12-17 18:22:00,5.38%
2025-12-17 18:22:30,4.82%
2025-12-17 18:23:00,4.95%
2025-12-17 18:23:30,5.29%
2025-12-17 18:24:00,5.28%
2025-12-17 18:24:30,4.95%
2025-12-17 18:25:00,4.94%
2025-12-17 18:25:30,5.53%
2025-12-17 18:26:00,5.14%
2025-12-17 18:26:30,4.98%
2025-12-17 18:27:00,5.06%
2025-12-17 18:27:30,5.07%
2025-12-17 18:28:00,5.26%
2025-12-17 18:28:30,4.96%
2025-12-17 18:29:00,5.01%
2025-12-17 18:29:30,4.95%
2025-12-17 18:30:00,5.15%
2025-12-17 18:30:30,5.19%
2025-12-17 18:31:00,5.05%
2025-12-17 18:31:30,4.99%
2025-12-17 18:32:00,5.30%
2025-12-17 18:32:30,5.10%
2025-12-17 18:33:00,5.01%
2025-12-17 18:33:30,5.12%
