"Time","GPU Memory Used (%)"
2025-12-17 17:26:00,15.8%
2025-12-17 17:26:30,15.8%
2025-12-17 17:27:00,26.0%
2025-12-17 17:27:30,38.1%
2025-12-17 17:28:00,35.4%
2025-12-17 17:28:30,24.9%
2025-12-17 17:29:00,24.9%
2025-12-17 17:29:30,24.9%
2025-12-17 17:30:00,24.9%
2025-12-17 17:30:30,24.9%
2025-12-17 17:31:00,24.9%
2025-12-17 17:31:30,24.9%
2025-12-17 17:32:00,24.9%
2025-12-17 17:32:30,24.9%
2025-12-17 17:33:00,24.9%
2025-12-17 17:33:30,24.9%
2025-12-17 17:34:00,24.9%
2025-12-17 17:34:30,24.9%
2025-12-17 17:35:00,21.6%
2025-12-17 17:35:30,21.6%
2025-12-17 17:36:00,21.6%
2025-12-17 17:36:30,21.6%
2025-12-17 17:37:00,21.6%
2025-12-17 17:37:30,21.6%
2025-12-17 17:38:00,21.6%
2025-12-17 17:38:30,21.6%
2025-12-17 17:39:00,21.6%
2025-12-17 17:39:30,21.6%
2025-12-17 17:40:00,21.6%
2025-12-17 17:40:30,21.6%
2025-12-17 17:41:00,21.6%
2025-12-17 17:41:30,21.6%
2025-12-17 17:42:00,21.6%
2025-12-17 17:42:30,21.6%
2025-12-17 17:43:00,21.6%
2025-12-17 17:43:30,21.6%
2025-12-17 17:44:00,21.6%
2025-12-17 17:44:30,21.6%
2025-12-17 17:45:00,21.6%
2025-12-17 17:45:30,21.6%
2025-12-17 17:46:00,21.6%
2025-12-17 17:46:30,21.6%
2025-12-17 17:47:00,21.6%
2025-12-17 17:47:30,21.6%
2025-12-17 17:48:00,21.6%
2025-12-17 17:48:30,21.6%
2025-12-17 17:49:00,21.6%
2025-12-17 17:49:30,21.6%
2025-12-17 17:50:00,21.6%
2025-12-17 17:50:30,21.6%
2025-12-17 17:51:00,21.6%
2025-12-17 17:51:30,21.6%
2025-12-17 17:52:00,21.6%
2025-12-17 17:52:30,21.6%
2025-12-17 17:53:00,21.6%
2025-12-17 17:53:30,21.6%
2025-12-17 17:54:00,21.6%
2025-12-17 17:54:30,21.6%
2025-12-17 17:55:00,21.6%
2025-12-17 17:55:30,21.6%
2025-12-17 17:56:00,21.6%
2025-12-17 17:56:30,21.6%
2025-12-17 17:57:00,21.6%
2025-12-17 17:57:30,21.6%
2025-12-17 17:58:00,21.6%
2025-12-17 17:58:30,21.6%
2025-12-17 17:59:00,21.6%
2025-12-17 17:59:30,21.6%
2025-12-17 18:00:00,21.6%
2025-12-17 18:00:30,21.6%
2025-12-17 18:01:00,21.6%
2025-12-17 18:01:30,21.6%
2025-12-17 18:02:00,21.6%
2025-12-17 18:02:30,21.6%
2025-12-17 18:03:00,21.6%
2025-12-17 18:03:30,21.6%
2025-12-17 18:04:00,21.6%
2025-12-17 18:04:30,21.6%
2025-12-17 18:05:00,21.6%
2025-12-17 18:05:30,21.6%
2025-12-17 18:06:00,21.6%
2025-12-17 18:06:30,21.6%
2025-12-17 18:07:00,21.6%
2025-12-17 18:07:30,21.6%
2025-12-17 18:08:00,21.6%
2025-12-17 18:08:30,21.6%
2025-12-17 18:09:00,21.6%
2025-12-17 18:09:30,21.6%
2025-12-17 18:10:00,21.6%
2025-12-17 18:10:30,21.6%
2025-12-17 18:11:00,21.6%
2025-12-17 18:11:30,21.6%
2025-12-17 18:12:00,21.6%
2025-12-17 18:12:30,21.6%
2025-12-17 18:13:00,21.6%
2025-12-17 18:13:30,21.6%
2025-12-17 18:14:00,21.6%
2025-12-17 18:14:30,21.6%
2025-12-17 18:15:00,21.6%
2025-12-17 18:15:30,21.6%
2025-12-17 18:16:00,21.6%
2025-12-17 18:16:30,21.6%
2025-12-17 18:17:00,21.6%
2025-12-17 18:17:30,21.6%
2025-12-17 18:18:00,21.6%
2025-12-17 18:18:30,21.6%
2025-12-17 18:19:00,21.6%
2025-12-17 18:19:30,21.6%
2025-12-17 18:20:00,21.6%
2025-12-17 18:20:30,21.6%
2025-12-17 18:21:00,21.6%
2025-12-17 18:21:30,21.6%
2025-12-17 18:22:00,21.6%
2025-12-17 18:22:30,21.6%
2025-12-17 18:23:00,21.6%
2025-12-17 18:23:30,21.6%
2025-12-17 18:24:00,21.6%
2025-12-17 18:24:30,21.6%
2025-12-17 18:25:00,21.6%
2025-12-17 18:25:30,21.6%
2025-12-17 18:26:00,21.6%
2025-12-17 18:26:30,21.6%
2025-12-17 18:27:00,21.6%
2025-12-17 18:27:30,21.6%
2025-12-17 18:28:00,21.6%
2025-12-17 18:28:30,21.6%
2025-12-17 18:29:00,21.6%
2025-12-17 18:29:30,21.6%
2025-12-17 18:30:00,21.6%
2025-12-17 18:30:30,21.6%
2025-12-17 18:31:00,21.6%
2025-12-17 18:31:30,21.6%
2025-12-17 18:32:00,21.6%
2025-12-17 18:32:30,21.6%
2025-12-17 18:33:00,21.6%
2025-12-17 18:33:30,21.6%
2025-12-17 18:34:00,21.6%
2025-12-17 18:34:30,21.6%
2025-12-17 18:35:00,21.6%
2025-12-17 18:35:30,21.6%
2025-12-17 18:36:00,21.6%
2025-12-17 18:36:30,21.6%
2025-12-17 18:37:00,21.6%
2025-12-17 18:37:30,21.6%
2025-12-17 18:38:00,21.6%
2025-12-17 18:38:30,21.6%
2025-12-17 18:39:00,21.6%
2025-12-17 18:39:30,21.6%
2025-12-17 18:40:00,21.6%
2025-12-17 18:40:30,21.6%
2025-12-17 18:41:00,21.6%
2025-12-17 18:41:30,21.6%
2025-12-17 18:42:00,21.6%
2025-12-17 18:42:30,21.6%
2025-12-17 18:43:00,21.6%
2025-12-17 18:43:30,21.6%
2025-12-17 18:44:00,21.6%
2025-12-17 18:44:30,21.6%
2025-12-17 18:45:00,21.6%
2025-12-17 18:45:30,21.6%
2025-12-17 18:46:00,21.6%
2025-12-17 18:46:30,21.6%
2025-12-17 18:47:00,21.6%
2025-12-17 18:47:30,21.6%
2025-12-17 18:48:00,21.6%
2025-12-17 18:48:30,21.6%
2025-12-17 18:49:00,21.6%
2025-12-17 18:49:30,21.6%
2025-12-17 18:50:00,16.1%
