"Time","GPU Utilization"
2025-12-17 17:26:00,0%
2025-12-17 17:26:30,0%
2025-12-17 17:27:00,24.7%
2025-12-17 17:27:30,55%
2025-12-17 17:28:00,51.7%
2025-12-17 17:28:30,76.2%
2025-12-17 17:29:00,69.2%
2025-12-17 17:29:30,70.3%
2025-12-17 17:30:00,74%
2025-12-17 17:30:30,72.8%
2025-12-17 17:31:00,42.3%
2025-12-17 17:31:30,46%
2025-12-17 17:32:00,60.2%
2025-12-17 17:32:30,52.2%
2025-12-17 17:33:00,61.8%
2025-12-17 17:33:30,42.5%
2025-12-17 17:34:00,40.3%
2025-12-17 17:34:30,60.7%
2025-12-17 17:35:00,50.8%
2025-12-17 17:35:30,45.8%
2025-12-17 17:36:00,46.4%
2025-12-17 17:36:30,54.8%
2025-12-17 17:37:00,45.2%
2025-12-17 17:37:30,38.4%
2025-12-17 17:38:00,55%
2025-12-17 17:38:30,53.4%
2025-12-17 17:39:00,54%
2025-12-17 17:39:30,37%
2025-12-17 17:40:00,54.2%
2025-12-17 17:40:30,44.8%
2025-12-17 17:41:00,55.4%
2025-12-17 17:41:30,47%
2025-12-17 17:42:00,46.8%
2025-12-17 17:42:30,55.4%
2025-12-17 17:43:00,55.8%
2025-12-17 17:43:30,43.8%
2025-12-17 17:44:00,54.2%
2025-12-17 17:44:30,53%
2025-12-17 17:45:00,50.4%
2025-12-17 17:45:30,57.4%
2025-12-17 17:46:00,48.8%
2025-12-17 17:46:30,56.6%
2025-12-17 17:47:00,38.4%
2025-12-17 17:47:30,47.4%
2025-12-17 17:48:00,51.8%
2025-12-17 17:48:30,53.8%
2025-12-17 17:49:00,54.4%
2025-12-17 17:49:30,55.2%
2025-12-17 17:50:00,55%
2025-12-17 17:50:30,46.6%
2025-12-17 17:51:00,38.6%
2025-12-17 17:51:30,54.8%
2025-12-17 17:52:00,45.4%
2025-12-17 17:52:30,46%
2025-12-17 17:53:00,55.6%
2025-12-17 17:53:30,55%
2025-12-17 17:54:00,55.6%
