"Time","Memory Usage"
2025-12-17 17:26:00,9.56%
2025-12-17 17:26:30,9.55%
2025-12-17 17:27:00,10.1%
2025-12-17 17:27:30,10.2%
2025-12-17 17:28:00,9.49%
2025-12-17 17:28:30,9.15%
2025-12-17 17:29:00,9.15%
2025-12-17 17:29:30,9.14%
2025-12-17 17:30:00,9.14%
2025-12-17 17:30:30,9.15%
2025-12-17 17:31:00,9.21%
2025-12-17 17:31:30,9.19%
2025-12-17 17:32:00,9.19%
2025-12-17 17:32:30,9.18%
2025-12-17 17:33:00,9.21%
2025-12-17 17:33:30,9.24%
2025-12-17 17:34:00,9.25%
2025-12-17 17:34:30,9.22%
2025-12-17 17:35:00,9.23%
2025-12-17 17:35:30,9.24%
2025-12-17 17:36:00,9.27%
2025-12-17 17:36:30,9.42%
2025-12-17 17:37:00,9.40%
2025-12-17 17:37:30,9.37%
2025-12-17 17:38:00,9.39%
2025-12-17 17:38:30,9.38%
2025-12-17 17:39:00,9.41%
2025-12-17 17:39:30,9.41%
2025-12-17 17:40:00,9.42%
2025-12-17 17:40:30,9.44%
2025-12-17 17:41:00,9.42%
2025-12-17 17:41:30,9.43%
2025-12-17 17:42:00,9.41%
2025-12-17 17:42:30,9.40%
2025-12-17 17:43:00,9.40%
2025-12-17 17:43:30,9.42%
2025-12-17 17:44:00,9.42%
2025-12-17 17:44:30,9.45%
2025-12-17 17:45:00,9.44%
2025-12-17 17:45:30,9.32%
2025-12-17 17:46:00,9.28%
2025-12-17 17:46:30,9.30%
2025-12-17 17:47:00,9.29%
2025-12-17 17:47:30,9.27%
2025-12-17 17:48:00,9.23%
2025-12-17 17:48:30,9.23%
2025-12-17 17:49:00,9.29%
2025-12-17 17:49:30,9.27%
2025-12-17 17:50:00,9.23%
2025-12-17 17:50:30,9.25%
2025-12-17 17:51:00,9.22%
2025-12-17 17:51:30,9.22%
2025-12-17 17:52:00,9.26%
2025-12-17 17:52:30,9.25%
2025-12-17 17:53:00,9.27%
2025-12-17 17:53:30,9.30%
2025-12-17 17:54:00,9.28%
2025-12-17 17:54:30,9.31%
2025-12-17 17:55:00,9.30%
2025-12-17 17:55:30,9.29%
2025-12-17 17:56:00,9.29%
2025-12-17 17:56:30,9.31%
2025-12-17 17:57:00,9.31%
2025-12-17 17:57:30,9.27%
2025-12-17 17:58:00,9.28%
2025-12-17 17:58:30,9.31%
2025-12-17 17:59:00,9.36%
2025-12-17 17:59:30,9.32%
2025-12-17 18:00:00,9.31%
2025-12-17 18:00:30,9.35%
2025-12-17 18:01:00,9.34%
2025-12-17 18:01:30,9.33%
2025-12-17 18:02:00,9.33%
2025-12-17 18:02:30,9.37%
2025-12-17 18:03:00,9.34%
2025-12-17 18:03:30,9.31%
2025-12-17 18:04:00,9.32%
2025-12-17 18:04:30,9.33%
2025-12-17 18:05:00,9.34%
2025-12-17 18:05:30,9.35%
2025-12-17 18:06:00,9.33%
2025-12-17 18:06:30,9.34%
2025-12-17 18:07:00,9.35%
2025-12-17 18:07:30,9.35%
2025-12-17 18:08:00,9.35%
2025-12-17 18:08:30,9.31%
2025-12-17 18:09:00,9.35%
2025-12-17 18:09:30,9.38%
2025-12-17 18:10:00,9.36%
2025-12-17 18:10:30,9.35%
2025-12-17 18:11:00,9.34%
2025-12-17 18:11:30,9.39%
2025-12-17 18:12:00,9.38%
2025-12-17 18:12:30,9.31%
2025-12-17 18:13:00,9.34%
2025-12-17 18:13:30,9.31%
2025-12-17 18:14:00,9.30%
2025-12-17 18:14:30,9.32%
2025-12-17 18:15:00,9.35%
2025-12-17 18:15:30,9.35%
2025-12-17 18:16:00,9.32%
2025-12-17 18:16:30,9.35%
2025-12-17 18:17:00,9.39%
2025-12-17 18:17:30,9.40%
2025-12-17 18:18:00,9.40%
2025-12-17 18:18:30,9.38%
2025-12-17 18:19:00,9.36%
2025-12-17 18:19:30,9.38%
2025-12-17 18:20:00,9.40%
2025-12-17 18:20:30,9.41%
2025-12-17 18:21:00,9.39%
2025-12-17 18:21:30,9.41%
2025-12-17 18:22:00,9.40%
2025-12-17 18:22:30,9.39%
2025-12-17 18:23:00,9.37%
2025-12-17 18:23:30,9.40%
2025-12-17 18:24:00,9.39%
2025-12-17 18:24:30,9.38%
2025-12-17 18:25:00,9.37%
2025-12-17 18:25:30,9.39%
2025-12-17 18:26:00,9.38%
2025-12-17 18:26:30,9.38%
2025-12-17 18:27:00,9.38%
2025-12-17 18:27:30,9.38%
2025-12-17 18:28:00,9.39%
2025-12-17 18:28:30,9.38%
2025-12-17 18:29:00,9.40%
2025-12-17 18:29:30,9.36%
2025-12-17 18:30:00,9.38%
2025-12-17 18:30:30,9.43%
2025-12-17 18:31:00,9.41%
2025-12-17 18:31:30,9.38%
2025-12-17 18:32:00,9.41%
2025-12-17 18:32:30,9.38%
2025-12-17 18:33:00,9.35%
2025-12-17 18:33:30,9.32%
2025-12-17 18:34:00,9.35%
2025-12-17 18:34:30,9.34%
2025-12-17 18:35:00,9.35%
2025-12-17 18:35:30,9.33%
2025-12-17 18:36:00,9.36%
2025-12-17 18:36:30,9.37%
2025-12-17 18:37:00,9.38%
2025-12-17 18:37:30,9.34%
2025-12-17 18:38:00,9.36%
2025-12-17 18:38:30,9.35%
2025-12-17 18:39:00,9.36%
2025-12-17 18:39:30,9.35%
2025-12-17 18:40:00,9.34%
2025-12-17 18:40:30,9.38%
2025-12-17 18:41:00,9.39%
2025-12-17 18:41:30,9.38%
2025-12-17 18:42:00,9.40%
2025-12-17 18:42:30,9.40%
2025-12-17 18:43:00,9.38%
2025-12-17 18:43:30,9.42%
2025-12-17 18:44:00,9.39%
2025-12-17 18:44:30,9.44%
2025-12-17 18:45:00,9.39%
2025-12-17 18:45:30,9.37%
2025-12-17 18:46:00,9.39%
2025-12-17 18:46:30,9.39%
2025-12-17 18:47:00,9.37%
2025-12-17 18:47:30,9.37%
2025-12-17 18:48:00,9.35%
2025-12-17 18:48:30,9.37%
2025-12-17 18:49:00,9.36%
